"country","google_country_code","country_group","name_en","name_fr","name_de","latitude","longitude"
"at","AT","eu","Austria","Autriche","Österreich","47.6965545","13.34598005"
"be","BE","eu","Belgium","Belgique","Belgien","50.501045","4.47667405"
"bg","BG","eu","Bulgaria","Bulgarie","Bulgarien","42.72567375","25.4823218"
"hr","HR","non-eu","Croatia","Croatie","Kroatien","44.74664297","15.34084438"
"cy","CY","eu","Cyprus","Chypre","Zypern","35.129141","33.4286823"
"cz","CZ","eu","Czech Republic","République tchèque","Tschechische Republik","49.803531","15.47499805"
"dk","DK","eu","Denmark","Danemark","Dänemark","55.93968425","9.51668905"
"ee","EE","eu","Estonia","Estonie","Estland","58.5924685","25.8069503"
"fi","FI","eu","Finland","Finlande","Finnland","64.95015875","26.06756405"
"fr","FR","eu","France","France","Frankreich","46.7109945","1.7185608"
"de","DE","eu","Germany (including  former GDR from 1991)","Allemagne (incluant l'ancienne RDA à partir de 1991)","Deutschland (einschließlich der ehemaligen DDR seit 1991)","51.16382538","10.4540478"
"gr","GR","eu","Greece","Grèce","Griechenland","39.698467","21.57725572"
"hu","HU","eu","Hungary","Hongrie","Ungarn","47.16116325","19.5042648"
"ie","IE","eu","Ireland","Irlande","Irland","53.41526","-8.2391222"
"it","IT","eu","Italy","Italie","Italien","42.504191","12.57378705"
"lv","LV","eu","Latvia","Lettonie","Lettland","56.880117","24.60655505"
"lt","LT","eu","Lithuania","Lituanie","Litauen","55.173687","23.9431678"
"lu","LU","eu","Luxembourg","Luxembourg","Luxemburg","49.815319","6.13335155"
"mt","MT","eu","Malta","Malte","Malta","35.902422","14.4474608"
"nl","NL","eu","Netherlands","Pays-Bas","Niederlande","52.10811825","5.3301983"
"no","NO","non-eu","Norway","Norvège","Norwegen","64.55645975","12.66576565"
"pl","PL","eu","Poland","Pologne","Polen","51.91890725","19.1343338"
"pt","PT","eu","Portugal","Portugal","Portugal","39.55806875","-7.84494095"
"ro","RO","eu","Romania","Roumanie","Rumänien","45.94261125","24.99015155"
"sk","SK","eu","Slovakia","Slovaquie","Slowakei","48.67264375","19.7000323"
"si","SI","eu","Slovenia","Slovénie","Slowenien","46.14925925","14.98661705"
"es","ES","eu","Spain","Espagne","Spanien","39.8950135","-2.9882957"
"se","SE","eu","Sweden","Suède","Schweden","62.1984675","14.89630657"
"tr","TR","non-eu","Turkey","Turquie","Türkei","38.95294205","35.43979471"
"uk","GB","eu","United Kingdom","Royaume-Uni","Vereinigtes Königreich","54.315447","-2.23261195"
