country,seasonality,age_group,month,unemployment,unemployment_rate
at,nsa,y25-74,1993.01,128000,4
at,nsa,y25-74,1993.02,133000,4.1
at,nsa,y25-74,1993.03,125000,3.9
at,nsa,y25-74,1993.04,116000,3.6
at,nsa,y25-74,1993.05,108000,3.4
at,nsa,y25-74,1993.06,100000,3.1
at,nsa,y25-74,1993.07,97000,3
at,nsa,y25-74,1993.08,97000,3.1
at,nsa,y25-74,1993.09,98000,3.1
at,nsa,y25-74,1993.10,103000,3.2
at,nsa,y25-74,1993.11,113000,3.6
at,nsa,y25-74,1993.12,126000,3.9
at,nsa,y25-74,1994.01,137000,4.2
at,nsa,y25-74,1994.02,138000,4.3
at,nsa,y25-74,1994.03,126000,3.9
at,nsa,y25-74,1994.04,115000,3.6
at,nsa,y25-74,1994.05,108000,3.4
at,nsa,y25-74,1994.06,98000,3.1
at,nsa,y25-74,1994.07,93000,2.9
at,nsa,y25-74,1994.08,93000,2.9
at,nsa,y25-74,1994.09,94000,3
at,nsa,y25-74,1994.10,100000,3.2
at,nsa,y25-74,1994.11,110000,3.5
at,nsa,y25-74,1994.12,121000,3.8
at,nsa,y25-74,1995.01,133000,4.2
at,nsa,y25-74,1995.02,136000,4.2
at,nsa,y25-74,1995.03,126000,3.9
at,nsa,y25-74,1995.04,116000,3.6
at,nsa,y25-74,1995.05,109000,3.4
at,nsa,y25-74,1995.06,100000,3.2
at,nsa,y25-74,1995.07,97000,3.1
at,nsa,y25-74,1995.08,98000,3.1
at,nsa,y25-74,1995.09,100000,3.1
at,nsa,y25-74,1995.10,106000,3.3
at,nsa,y25-74,1995.11,121000,3.8
at,nsa,y25-74,1995.12,137000,4.3
at,nsa,y25-74,1996.01,153000,4.8
at,nsa,y25-74,1996.02,162000,5
at,nsa,y25-74,1996.03,155000,4.8
at,nsa,y25-74,1996.04,140000,4.4
at,nsa,y25-74,1996.05,125000,3.9
at,nsa,y25-74,1996.06,113000,3.5
at,nsa,y25-74,1996.07,106000,3.4
at,nsa,y25-74,1996.08,106000,3.3
at,nsa,y25-74,1996.09,105000,3.3
at,nsa,y25-74,1996.10,111000,3.5
at,nsa,y25-74,1996.11,122000,3.8
at,nsa,y25-74,1996.12,133000,4.1
at,nsa,y25-74,1997.01,148000,4.6
at,nsa,y25-74,1997.02,154000,4.8
at,nsa,y25-74,1997.03,142000,4.4
at,nsa,y25-74,1997.04,131000,4.1
at,nsa,y25-74,1997.05,123000,3.8
at,nsa,y25-74,1997.06,113000,3.5
at,nsa,y25-74,1997.07,109000,3.4
at,nsa,y25-74,1997.08,110000,3.4
at,nsa,y25-74,1997.09,111000,3.5
at,nsa,y25-74,1997.10,118000,3.7
at,nsa,y25-74,1997.11,132000,4.1
at,nsa,y25-74,1997.12,146000,4.5
at,nsa,y25-74,1998.01,163000,5
at,nsa,y25-74,1998.02,172000,5.3
at,nsa,y25-74,1998.03,162000,5
at,nsa,y25-74,1998.04,147000,4.5
at,nsa,y25-74,1998.05,134000,4.2
at,nsa,y25-74,1998.06,123000,3.8
at,nsa,y25-74,1998.07,115000,3.6
at,nsa,y25-74,1998.08,113000,3.5
at,nsa,y25-74,1998.09,112000,3.5
at,nsa,y25-74,1998.10,116000,3.6
at,nsa,y25-74,1998.11,126000,3.9
at,nsa,y25-74,1998.12,137000,4.2
at,nsa,y25-74,1999.01,150000,4.6
at,nsa,y25-74,1999.02,155000,4.7
at,nsa,y25-74,1999.03,143000,4.4
at,nsa,y25-74,1999.04,128000,3.9
at,nsa,y25-74,1999.05,117000,3.6
at,nsa,y25-74,1999.06,106000,3.2
at,nsa,y25-74,1999.07,101000,3.1
at,nsa,y25-74,1999.08,101000,3.1
at,nsa,y25-74,1999.09,101000,3.1
at,nsa,y25-74,1999.10,106000,3.2
at,nsa,y25-74,1999.11,118000,3.6
at,nsa,y25-74,1999.12,132000,4
at,nsa,y25-74,2000.01,148000,4.5
at,nsa,y25-74,2000.02,155000,4.7
at,nsa,y25-74,2000.03,141000,4.2
at,nsa,y25-74,2000.04,122000,3.7
at,nsa,y25-74,2000.05,108000,3.3
at,nsa,y25-74,2000.06,97000,3
at,nsa,y25-74,2000.07,90000,2.7
at,nsa,y25-74,2000.08,88000,2.7
at,nsa,y25-74,2000.09,87000,2.7
at,nsa,y25-74,2000.10,91000,2.8
at,nsa,y25-74,2000.11,101000,3.1
at,nsa,y25-74,2000.12,111000,3.4
at,nsa,y25-74,2001.01,125000,3.8
at,nsa,y25-74,2001.02,131000,3.9
at,nsa,y25-74,2001.03,120000,3.6
at,nsa,y25-74,2001.04,107000,3.2
at,nsa,y25-74,2001.05,99000,3
at,nsa,y25-74,2001.06,93000,2.8
at,nsa,y25-74,2001.07,90000,2.7
at,nsa,y25-74,2001.08,93000,2.8
at,nsa,y25-74,2001.09,95000,2.9
at,nsa,y25-74,2001.10,102000,3.1
at,nsa,y25-74,2001.11,117000,3.5
at,nsa,y25-74,2001.12,136000,4
at,nsa,y25-74,2002.01,156000,4.6
at,nsa,y25-74,2002.02,163000,4.8
at,nsa,y25-74,2002.03,151000,4.5
at,nsa,y25-74,2002.04,136000,4
at,nsa,y25-74,2002.05,124000,3.7
at,nsa,y25-74,2002.06,113000,3.4
at,nsa,y25-74,2002.07,108000,3.2
at,nsa,y25-74,2002.08,109000,3.2
at,nsa,y25-74,2002.09,109000,3.2
at,nsa,y25-74,2002.10,112000,3.3
at,nsa,y25-74,2002.11,122000,3.6
at,nsa,y25-74,2002.12,139000,4.1
at,nsa,y25-74,2003.01,156000,4.5
at,nsa,y25-74,2003.02,159000,4.6
at,nsa,y25-74,2003.03,146000,4.3
at,nsa,y25-74,2003.04,129000,3.8
at,nsa,y25-74,2003.05,119000,3.5
at,nsa,y25-74,2003.06,110000,3.3
at,nsa,y25-74,2003.07,105000,3.1
at,nsa,y25-74,2003.08,105000,3.2
at,nsa,y25-74,2003.09,105000,3.2
at,nsa,y25-74,2003.10,109000,3.3
at,nsa,y25-74,2003.11,119000,3.6
at,nsa,y25-74,2003.12,134000,4
at,nsa,y25-74,2004.01,146000,4.4
at,nsa,y25-74,2004.02,148000,4.5
at,nsa,y25-74,2004.03,142000,4.3
at,nsa,y25-74,2004.04,141000,4.2
at,nsa,y25-74,2004.05,138000,4.1
at,nsa,y25-74,2004.06,139000,4.1
at,nsa,y25-74,2004.07,137000,4
at,nsa,y25-74,2004.08,137000,4
at,nsa,y25-74,2004.09,131000,3.8
at,nsa,y25-74,2004.10,132000,3.9
at,nsa,y25-74,2004.11,137000,4
at,nsa,y25-74,2004.12,152000,4.5
at,nsa,y25-74,2005.01,155000,4.6
at,nsa,y25-74,2005.02,157000,4.6
at,nsa,y25-74,2005.03,154000,4.5
at,nsa,y25-74,2005.04,155000,4.5
at,nsa,y25-74,2005.05,149000,4.3
at,nsa,y25-74,2005.06,143000,4.1
at,nsa,y25-74,2005.07,139000,4
at,nsa,y25-74,2005.08,141000,4
at,nsa,y25-74,2005.09,134000,3.9
at,nsa,y25-74,2005.10,138000,4
at,nsa,y25-74,2005.11,144000,4.2
at,nsa,y25-74,2005.12,165000,4.7
at,nsa,y25-74,2006.01,170000,4.9
at,nsa,y25-74,2006.02,168000,4.9
