country_group,seasonality,sex,age_group,month,unemployment,unemployment_rate
eu,nsa,f,y25-74,2000.01,7655000,9
eu,nsa,f,y25-74,2000.02,7668000,9
eu,nsa,f,y25-74,2000.03,7686000,9
eu,nsa,f,y25-74,2000.04,7413000,8.6
eu,nsa,f,y25-74,2000.05,7340000,8.5
eu,nsa,f,y25-74,2000.06,7309000,8.4
eu,nsa,f,y25-74,2000.07,7122000,8.2
eu,nsa,f,y25-74,2000.08,7289000,8.4
eu,nsa,f,y25-74,2000.09,7216000,8.3
eu,nsa,f,y25-74,2000.10,7170000,8.3
eu,nsa,f,y25-74,2000.11,7153000,8.2
eu,nsa,f,y25-74,2000.12,7100000,8.2
eu,nsa,f,y25-74,2001.01,7322000,8.5
eu,nsa,f,y25-74,2001.02,7304000,8.5
eu,nsa,f,y25-74,2001.03,7357000,8.5
eu,nsa,f,y25-74,2001.04,7104000,8.2
eu,nsa,f,y25-74,2001.05,7065000,8.1
eu,nsa,f,y25-74,2001.06,7049000,8.1
eu,nsa,f,y25-74,2001.07,6858000,7.8
eu,nsa,f,y25-74,2001.08,7042000,8
eu,nsa,f,y25-74,2001.09,6981000,8
eu,nsa,f,y25-74,2001.10,7054000,8.1
eu,nsa,f,y25-74,2001.11,7134000,8.1
eu,nsa,f,y25-74,2001.12,7148000,8.2
eu,nsa,f,y25-74,2002.01,7454000,8.6
eu,nsa,f,y25-74,2002.02,7463000,8.6
eu,nsa,f,y25-74,2002.03,7553000,8.6
eu,nsa,f,y25-74,2002.04,7385000,8.4
eu,nsa,f,y25-74,2002.05,7307000,8.3
eu,nsa,f,y25-74,2002.06,7345000,8.3
eu,nsa,f,y25-74,2002.07,7291000,8.2
eu,nsa,f,y25-74,2002.08,7526000,8.5
eu,nsa,f,y25-74,2002.09,7496000,8.4
eu,nsa,f,y25-74,2002.10,7543000,8.5
eu,nsa,f,y25-74,2002.11,7591000,8.5
eu,nsa,f,y25-74,2002.12,7558000,8.5
eu,nsa,f,y25-74,2003.01,7858000,8.9
eu,nsa,f,y25-74,2003.02,7827000,8.8
eu,nsa,f,y25-74,2003.03,7884000,8.8
eu,nsa,f,y25-74,2003.04,7515000,8.4
eu,nsa,f,y25-74,2003.05,7432000,8.3
eu,nsa,f,y25-74,2003.06,7442000,8.3
eu,nsa,f,y25-74,2003.07,7346000,8.2
eu,nsa,f,y25-74,2003.08,7559000,8.4
eu,nsa,f,y25-74,2003.09,7501000,8.4
eu,nsa,f,y25-74,2003.10,7680000,8.5
eu,nsa,f,y25-74,2003.11,7748000,8.6
eu,nsa,f,y25-74,2003.12,7790000,8.6
eu,nsa,f,y25-74,2004.01,8210000,9.1
eu,nsa,f,y25-74,2004.02,8197000,9.1
eu,nsa,f,y25-74,2004.03,8093000,9
eu,nsa,f,y25-74,2004.04,7680000,8.5
eu,nsa,f,y25-74,2004.05,7528000,8.3
eu,nsa,f,y25-74,2004.06,7366000,8.1
eu,nsa,f,y25-74,2004.07,7314000,8.1
eu,nsa,f,y25-74,2004.08,7532000,8.3
eu,nsa,f,y25-74,2004.09,7672000,8.4
eu,nsa,f,y25-74,2004.10,7838000,8.5
eu,nsa,f,y25-74,2004.11,7877000,8.6
eu,nsa,f,y25-74,2004.12,7830000,8.5
eu,nsa,f,y25-74,2005.01,8040000,8.8
eu,nsa,f,y25-74,2005.02,8040000,8.8
eu,nsa,f,y25-74,2005.03,8015000,8.7
eu,nsa,f,y25-74,2005.04,7744000,8.4
eu,nsa,f,y25-74,2005.05,7679000,8.3
eu,nsa,f,y25-74,2005.06,7602000,8.2
eu,nsa,f,y25-74,2005.07,7284000,7.9
eu,nsa,f,y25-74,2005.08,7543000,8.2
eu,nsa,f,y25-74,2005.09,7775000,8.4
eu,nsa,f,y25-74,2005.10,8000000,8.6
eu,nsa,f,y25-74,2005.11,7859000,8.5
eu,nsa,f,y25-74,2005.12,7827000,8.4
eu,nsa,f,y25-74,2006.01,8092000,8.7
eu,nsa,f,y25-74,2006.02,7857000,8.5
eu,nsa,f,y25-74,2006.03,7746000,8.3
eu,nsa,f,y25-74,2006.04,7228000,7.7
eu,nsa,f,y25-74,2006.05,7087000,7.6
eu,nsa,f,y25-74,2006.06,7086000,7.6
eu,nsa,f,y25-74,2006.07,6835000,7.3
eu,nsa,f,y25-74,2006.08,7092000,7.6
eu,nsa,f,y25-74,2006.09,7029000,7.5
eu,nsa,f,y25-74,2006.10,7066000,7.5
eu,nsa,f,y25-74,2006.11,7108000,7.6
eu,nsa,f,y25-74,2006.12,6905000,7.4
eu,nsa,f,y25-74,2007.01,7011000,7.5
eu,nsa,f,y25-74,2007.02,6940000,7.4
eu,nsa,f,y25-74,2007.03,6684000,7.1
eu,nsa,f,y25-74,2007.04,6507000,6.9
eu,nsa,f,y25-74,2007.05,6334000,6.7
eu,nsa,f,y25-74,2007.06,6152000,6.5
eu,nsa,f,y25-74,2007.07,6166000,6.5
eu,nsa,f,y25-74,2007.08,6243000,6.6
eu,nsa,f,y25-74,2007.09,6245000,6.6
eu,nsa,f,y25-74,2007.10,6380000,6.7
eu,nsa,f,y25-74,2007.11,6360000,6.7
eu,nsa,f,y25-74,2007.12,6277000,6.6
eu,nsa,f,y25-74,2008.01,6447000,6.8
eu,nsa,f,y25-74,2008.02,6379000,6.7
eu,nsa,f,y25-74,2008.03,6132000,6.4
eu,nsa,f,y25-74,2008.04,6125000,6.4
eu,nsa,f,y25-74,2008.05,5992000,6.3
eu,nsa,f,y25-74,2008.06,6040000,6.3
eu,nsa,f,y25-74,2008.07,5942000,6.2
eu,nsa,f,y25-74,2008.08,6138000,6.4
eu,nsa,f,y25-74,2008.09,6090000,6.3
eu,nsa,f,y25-74,2008.10,6286000,6.5
eu,nsa,f,y25-74,2008.11,6428000,6.7
eu,nsa,f,y25-74,2008.12,6589000,6.8
eu,nsa,f,y25-74,2009.01,7152000,7.4
eu,nsa,f,y25-74,2009.02,7462000,7.7
eu,nsa,f,y25-74,2009.03,7365000,7.6
eu,nsa,f,y25-74,2009.04,7331000,7.5
eu,nsa,f,y25-74,2009.05,7249000,7.5
eu,nsa,f,y25-74,2009.06,7254000,7.5
eu,nsa,f,y25-74,2009.07,7293000,7.5
eu,nsa,f,y25-74,2009.08,7422000,7.6
eu,nsa,f,y25-74,2009.09,7419000,7.6
eu,nsa,f,y25-74,2009.10,7734000,7.9
eu,nsa,f,y25-74,2009.11,7827000,8
eu,nsa,f,y25-74,2009.12,7874000,8.1
eu,nsa,f,y25-74,2010.01,8406000,8.6
eu,nsa,f,y25-74,2010.02,8449000,8.7
eu,nsa,f,y25-74,2010.03,8350000,8.5
eu,nsa,f,y25-74,2010.04,8132000,8.3
