country_group,seasonality,age_group,month,unemployment,unemployment_rate
eu,nsa,y25-74,2000.01,15441000,7.9
eu,nsa,y25-74,2000.02,15542000,8
eu,nsa,y25-74,2000.03,15532000,8
eu,nsa,y25-74,2000.04,14837000,7.6
eu,nsa,y25-74,2000.05,14541000,7.4
eu,nsa,y25-74,2000.06,14303000,7.3
eu,nsa,y25-74,2000.07,13954000,7.1
eu,nsa,y25-74,2000.08,14041000,7.1
eu,nsa,y25-74,2000.09,13924000,7.1
eu,nsa,y25-74,2000.10,13929000,7.1
eu,nsa,y25-74,2000.11,13956000,7.1
eu,nsa,y25-74,2000.12,14097000,7.2
eu,nsa,y25-74,2001.01,14720000,7.5
eu,nsa,y25-74,2001.02,14768000,7.5
eu,nsa,y25-74,2001.03,14837000,7.6
eu,nsa,y25-74,2001.04,14271000,7.2
eu,nsa,y25-74,2001.05,14138000,7.2
eu,nsa,y25-74,2001.06,14003000,7.1
eu,nsa,y25-74,2001.07,13715000,6.9
eu,nsa,y25-74,2001.08,13869000,7
eu,nsa,y25-74,2001.09,13826000,7
eu,nsa,y25-74,2001.10,14061000,7.1
eu,nsa,y25-74,2001.11,14249000,7.2
eu,nsa,y25-74,2001.12,14527000,7.3
eu,nsa,y25-74,2002.01,15327000,7.8
eu,nsa,y25-74,2002.02,15477000,7.8
eu,nsa,y25-74,2002.03,15574000,7.9
eu,nsa,y25-74,2002.04,15080000,7.6
eu,nsa,y25-74,2002.05,14866000,7.5
eu,nsa,y25-74,2002.06,14800000,7.4
eu,nsa,y25-74,2002.07,14694000,7.4
eu,nsa,y25-74,2002.08,14948000,7.5
eu,nsa,y25-74,2002.09,14971000,7.5
eu,nsa,y25-74,2002.10,15189000,7.6
eu,nsa,y25-74,2002.11,15318000,7.7
eu,nsa,y25-74,2002.12,15550000,7.8
eu,nsa,y25-74,2003.01,16178000,8.1
eu,nsa,y25-74,2003.02,16204000,8.1
eu,nsa,y25-74,2003.03,16307000,8.2
eu,nsa,y25-74,2003.04,15489000,7.7
eu,nsa,y25-74,2003.05,15223000,7.6
eu,nsa,y25-74,2003.06,15092000,7.5
eu,nsa,y25-74,2003.07,14885000,7.4
eu,nsa,y25-74,2003.08,15073000,7.5
eu,nsa,y25-74,2003.09,14979000,7.4
eu,nsa,y25-74,2003.10,15365000,7.6
eu,nsa,y25-74,2003.11,15541000,7.7
eu,nsa,y25-74,2003.12,15860000,7.9
eu,nsa,y25-74,2004.01,16735000,8.3
eu,nsa,y25-74,2004.02,16784000,8.3
eu,nsa,y25-74,2004.03,16642000,8.2
eu,nsa,y25-74,2004.04,15797000,7.8
eu,nsa,y25-74,2004.05,15474000,7.6
eu,nsa,y25-74,2004.06,15165000,7.5
eu,nsa,y25-74,2004.07,14975000,7.4
eu,nsa,y25-74,2004.08,15167000,7.5
eu,nsa,y25-74,2004.09,15366000,7.5
eu,nsa,y25-74,2004.10,15672000,7.7
eu,nsa,y25-74,2004.11,15812000,7.7
eu,nsa,y25-74,2004.12,15949000,7.8
eu,nsa,y25-74,2005.01,16529000,8.1
eu,nsa,y25-74,2005.02,16563000,8.1
eu,nsa,y25-74,2005.03,16617000,8.1
eu,nsa,y25-74,2005.04,15981000,7.8
eu,nsa,y25-74,2005.05,15708000,7.6
eu,nsa,y25-74,2005.06,15336000,7.4
eu,nsa,y25-74,2005.07,14699000,7.2
eu,nsa,y25-74,2005.08,15106000,7.3
eu,nsa,y25-74,2005.09,15277000,7.4
eu,nsa,y25-74,2005.10,15772000,7.6
eu,nsa,y25-74,2005.11,15567000,7.5
eu,nsa,y25-74,2005.12,15650000,7.6
eu,nsa,y25-74,2006.01,16298000,7.9
eu,nsa,y25-74,2006.02,16029000,7.7
eu,nsa,y25-74,2006.03,15797000,7.6
eu,nsa,y25-74,2006.04,14913000,7.2
eu,nsa,y25-74,2006.05,14326000,6.9
eu,nsa,y25-74,2006.06,14190000,6.8
eu,nsa,y25-74,2006.07,13767000,6.6
eu,nsa,y25-74,2006.08,13893000,6.7
eu,nsa,y25-74,2006.09,13815000,6.6
eu,nsa,y25-74,2006.10,13908000,6.7
eu,nsa,y25-74,2006.11,14056000,6.7
eu,nsa,y25-74,2006.12,13907000,6.7
eu,nsa,y25-74,2007.01,14159000,6.8
eu,nsa,y25-74,2007.02,14070000,6.7
eu,nsa,y25-74,2007.03,13635000,6.5
eu,nsa,y25-74,2007.04,12867000,6.1
eu,nsa,y25-74,2007.05,12692000,6
eu,nsa,y25-74,2007.06,12180000,5.8
eu,nsa,y25-74,2007.07,12320000,5.8
eu,nsa,y25-74,2007.08,12209000,5.8
