country_group,seasonality,sex,month,unemployment,unemployment_rate
eu,nsa,f,2000.01,10161000,10.3
eu,nsa,f,2000.02,10154000,10.3
eu,nsa,f,2000.03,10124000,10.3
eu,nsa,f,2000.04,9762000,9.8
eu,nsa,f,2000.05,9676000,9.7
eu,nsa,f,2000.06,9714000,9.7
eu,nsa,f,2000.07,9577000,9.5
eu,nsa,f,2000.08,9803000,9.7
eu,nsa,f,2000.09,9742000,9.7
eu,nsa,f,2000.10,9646000,9.6
eu,nsa,f,2000.11,9598000,9.6
eu,nsa,f,2000.12,9449000,9.4
eu,nsa,f,2001.01,9708000,9.8
eu,nsa,f,2001.02,9684000,9.7
eu,nsa,f,2001.03,9713000,9.7
eu,nsa,f,2001.04,9380000,9.4
eu,nsa,f,2001.05,9369000,9.3
eu,nsa,f,2001.06,9421000,9.3
eu,nsa,f,2001.07,9272000,9.2
eu,nsa,f,2001.08,9518000,9.4
eu,nsa,f,2001.09,9479000,9.3
eu,nsa,f,2001.10,9520000,9.4
eu,nsa,f,2001.11,9554000,9.4
eu,nsa,f,2001.12,9487000,9.4
eu,nsa,f,2002.01,9856000,9.8
eu,nsa,f,2002.02,9831000,9.8
eu,nsa,f,2002.03,9895000,9.8
eu,nsa,f,2002.04,9665000,9.6
eu,nsa,f,2002.05,9579000,9.5
eu,nsa,f,2002.06,9717000,9.6
eu,nsa,f,2002.07,9724000,9.5
eu,nsa,f,2002.08,10023000,9.8
eu,nsa,f,2002.09,9991000,9.8
eu,nsa,f,2002.10,9980000,9.8
eu,nsa,f,2002.11,9965000,9.8
eu,nsa,f,2002.12,9843000,9.7
eu,nsa,f,2003.01,10176000,10
eu,nsa,f,2003.02,10112000,10
eu,nsa,f,2003.03,10153000,10
eu,nsa,f,2003.04,9772000,9.6
eu,nsa,f,2003.05,9728000,9.5
eu,nsa,f,2003.06,9847000,9.6
eu,nsa,f,2003.07,9759000,9.5
eu,nsa,f,2003.08,9988000,9.7
eu,nsa,f,2003.09,9933000,9.6
eu,nsa,f,2003.10,10002000,9.7
eu,nsa,f,2003.11,10021000,9.7
eu,nsa,f,2003.12,10005000,9.7
eu,nsa,f,2004.01,10530000,10.3
eu,nsa,f,2004.02,10554000,10.3
eu,nsa,f,2004.03,10417000,10.1
eu,nsa,f,2004.04,10003000,9.7
eu,nsa,f,2004.05,9867000,9.5
eu,nsa,f,2004.06,9794000,9.4
eu,nsa,f,2004.07,9761000,9.4
eu,nsa,f,2004.08,10008000,9.6
eu,nsa,f,2004.09,10220000,9.8
eu,nsa,f,2004.10,10338000,9.9
eu,nsa,f,2004.11,10297000,9.8
eu,nsa,f,2004.12,10106000,9.7
eu,nsa,f,2005.01,10340000,10
eu,nsa,f,2005.02,10368000,10
eu,nsa,f,2005.03,10254000,9.9
eu,nsa,f,2005.04,9937000,9.5
eu,nsa,f,2005.05,9953000,9.5
eu,nsa,f,2005.06,9938000,9.5
eu,nsa,f,2005.07,9719000,9.3
eu,nsa,f,2005.08,9945000,9.5
eu,nsa,f,2005.09,10280000,9.7
eu,nsa,f,2005.10,10371000,9.8
eu,nsa,f,2005.11,10145000,9.6
eu,nsa,f,2005.12,10005000,9.5
eu,nsa,f,2006.01,10313000,9.8
eu,nsa,f,2006.02,10109000,9.6
eu,nsa,f,2006.03,9913000,9.4
eu,nsa,f,2006.04,9329000,8.8
eu,nsa,f,2006.05,9198000,8.7
eu,nsa,f,2006.06,9206000,8.7
eu,nsa,f,2006.07,9056000,8.5
eu,nsa,f,2006.08,9399000,8.8
eu,nsa,f,2006.09,9367000,8.8
eu,nsa,f,2006.10,9314000,8.7
eu,nsa,f,2006.11,9218000,8.6
eu,nsa,f,2006.12,8904000,8.4
eu,nsa,f,2007.01,9097000,8.6
eu,nsa,f,2007.02,8942000,8.4
eu,nsa,f,2007.03,8553000,8.1
eu,nsa,f,2007.04,8358000,7.9
eu,nsa,f,2007.05,8191000,7.7
eu,nsa,f,2007.06,8155000,7.6
eu,nsa,f,2007.07,8107000,7.5
eu,nsa,f,2007.08,8274000,7.7
eu,nsa,f,2007.09,8310000,7.7
eu,nsa,f,2007.10,8335000,7.7
eu,nsa,f,2007.11,8190000,7.6
eu,nsa,f,2007.12,8040000,7.5
eu,nsa,f,2008.01,8274000,7.7
eu,nsa,f,2008.02,8183000,7.6
eu,nsa,f,2008.03,7887000,7.4
eu,nsa,f,2008.04,7919000,7.3
eu,nsa,f,2008.05,7828000,7.2
eu,nsa,f,2008.06,7953000,7.3
eu,nsa,f,2008.07,7890000,7.2
eu,nsa,f,2008.08,8153000,7.5
eu,nsa,f,2008.09,8106000,7.4
eu,nsa,f,2008.10,8258000,7.6
eu,nsa,f,2008.11,8415000,7.7
eu,nsa,f,2008.12,8445000,7.8
eu,nsa,f,2009.01,9139000,8.4
eu,nsa,f,2009.02,9614000,8.8
eu,nsa,f,2009.03,9555000,8.8
eu,nsa,f,2009.04,9476000,8.7
eu,nsa,f,2009.05,9395000,8.6
eu,nsa,f,2009.06,9454000,8.6
eu,nsa,f,2009.07,9608000,8.8
eu,nsa,f,2009.08,9797000,8.9
eu,nsa,f,2009.09,9889000,9
eu,nsa,f,2009.10,10068000,9.2
eu,nsa,f,2009.11,10042000,9.2
eu,nsa,f,2009.12,9980000,9.1
eu,nsa,f,2010.01,10609000,9.7
eu,nsa,f,2010.02,10740000,9.8
eu,nsa,f,2010.03,10565000,9.7
eu,nsa,f,2010.04,10373000,9.4
eu,nsa,f,2010.05,10350000,9.4
eu,nsa,f,2010.06,10147000,9.2
eu,nsa,f,2010.07,10245000,9.3
eu,nsa,f,2010.08,10231000,9.3
eu,nsa,f,2010.09,10517000,9.5
eu,nsa,f,2010.10,10724000,9.7
eu,nsa,f,2010.11,10572000,9.6
eu,nsa,f,2010.12,10326000,9.4
eu,nsa,m,2000.01,10480000,8.4
eu,nsa,m,2000.02,10575000,8.5
eu,nsa,m,2000.03,10502000,8.4
eu,nsa,m,2000.04,9923000,8
eu,nsa,m,2000.05,9676000,7.7
eu,nsa,m,2000.06,9491000,7.6
eu,nsa,m,2000.07,9409000,7.5
eu,nsa,m,2000.08,9389000,7.5
eu,nsa,m,2000.09,9301000,7.4
eu,nsa,m,2000.10,9327000,7.4
eu,nsa,m,2000.11,9359000,7.4
eu,nsa,m,2000.12,9548000,7.6
eu,nsa,m,2001.01,10034000,8
eu,nsa,m,2001.02,10140000,8.1
eu,nsa,m,2001.03,10111000,8.1
eu,nsa,m,2001.04,9639000,7.7
eu,nsa,m,2001.05,9568000,7.6
eu,nsa,m,2001.06,9514000,7.6
eu,nsa,m,2001.07,9488000,7.5
eu,nsa,m,2001.08,9520000,7.5
eu,nsa,m,2001.09,9505000,7.5
eu,nsa,m,2001.10,9710000,7.7
eu,nsa,m,2001.11,9829000,7.8
eu,nsa,m,2001.12,10087000,8
eu,nsa,m,2002.01,10706000,8.6
eu,nsa,m,2002.02,10863000,8.7
eu,nsa,m,2002.03,10788000,8.6
eu,nsa,m,2002.04,10310000,8.2
eu,nsa,m,2002.05,10181000,8.1
eu,nsa,m,2002.06,10116000,8
eu,nsa,m,2002.07,10157000,8
eu,nsa,m,2002.08,10232000,8.1
eu,nsa,m,2002.09,10256000,8.1
eu,nsa,m,2002.10,10435000,8.3
eu,nsa,m,2002.11,10510000,8.3
eu,nsa,m,2002.12,10738000,8.5
eu,nsa,m,2003.01,11165000,8.9
eu,nsa,m,2003.02,11212000,8.9
eu,nsa,m,2003.03,11203000,8.9
eu,nsa,m,2003.04,10631000,8.4
eu,nsa,m,2003.05,10455000,8.3
eu,nsa,m,2003.06,10418000,8.2
eu,nsa,m,2003.07,10348000,8.1
eu,nsa,m,2003.08,10348000,8.1
eu,nsa,m,2003.09,10259000,8.1
eu,nsa,m,2003.10,10376000,8.2
eu,nsa,m,2003.11,10436000,8.2
eu,nsa,m,2003.12,10687000,8.4
eu,nsa,m,2004.01,11290000,8.9
eu,nsa,m,2004.02,11407000,9
