country,seasonality,sex,month,unemployment,unemployment_rate
at,nsa,f,1993.01,82000,4.9
at,nsa,f,1993.02,82000,4.9
at,nsa,f,1993.03,82000,4.9
at,nsa,f,1993.04,87000,5.2
at,nsa,f,1993.05,87000,5.2
at,nsa,f,1993.06,80000,4.8
at,nsa,f,1993.07,76000,4.6
at,nsa,f,1993.08,79000,4.8
at,nsa,f,1993.09,81000,4.9
at,nsa,f,1993.10,86000,5.2
at,nsa,f,1993.11,96000,5.7
at,nsa,f,1993.12,92000,5.5
at,nsa,f,1994.01,85000,5.1
at,nsa,f,1994.02,84000,5.1
at,nsa,f,1994.03,82000,4.9
at,nsa,f,1994.04,86000,5.1
at,nsa,f,1994.05,85000,5.1
at,nsa,f,1994.06,76000,4.6
at,nsa,f,1994.07,73000,4.4
at,nsa,f,1994.08,74000,4.5
at,nsa,f,1994.09,77000,4.6
at,nsa,f,1994.10,84000,5.1
at,nsa,f,1994.11,93000,5.6
at,nsa,f,1994.12,90000,5.4
at,nsa,f,1995.01,83000,5
at,nsa,f,1995.02,83000,5
at,nsa,f,1995.03,82000,4.9
at,nsa,f,1995.04,85000,5.1
at,nsa,f,1995.05,84000,5.1
at,nsa,f,1995.06,77000,4.7
at,nsa,f,1995.07,74000,4.5
at,nsa,f,1995.08,76000,4.6
at,nsa,f,1995.09,78000,4.7
at,nsa,f,1995.10,84000,5.1
at,nsa,f,1995.11,93000,5.6
at,nsa,f,1995.12,91000,5.5
at,nsa,f,1996.01,86000,5.2
at,nsa,f,1996.02,86000,5.2
at,nsa,f,1996.03,86000,5.2
at,nsa,f,1996.04,89000,5.4
at,nsa,f,1996.05,89000,5.4
at,nsa,f,1996.06,81000,5
at,nsa,f,1996.07,79000,4.8
at,nsa,f,1996.08,81000,4.9
at,nsa,f,1996.09,82000,5
at,nsa,f,1996.10,88000,5.3
at,nsa,f,1996.11,96000,5.8
at,nsa,f,1996.12,95000,5.8
at,nsa,f,1997.01,90000,5.5
at,nsa,f,1997.02,88000,5.3
at,nsa,f,1997.03,86000,5.2
at,nsa,f,1997.04,89000,5.4
at,nsa,f,1997.05,89000,5.4
at,nsa,f,1997.06,82000,5
at,nsa,f,1997.07,81000,4.9
at,nsa,f,1997.08,83000,5
at,nsa,f,1997.09,85000,5.1
at,nsa,f,1997.10,91000,5.5
at,nsa,f,1997.11,100000,6
at,nsa,f,1997.12,99000,5.9
at,nsa,f,1998.01,95000,5.7
at,nsa,f,1998.02,94000,5.7
at,nsa,f,1998.03,94000,5.6
at,nsa,f,1998.04,96000,5.8
at,nsa,f,1998.05,94000,5.6
at,nsa,f,1998.06,87000,5.2
at,nsa,f,1998.07,83000,5
at,nsa,f,1998.08,83000,5
at,nsa,f,1998.09,83000,5
at,nsa,f,1998.10,87000,5.2
at,nsa,f,1998.11,93000,5.5
at,nsa,f,1998.12,91000,5.4
at,nsa,f,1999.01,85000,5
at,nsa,f,1999.02,82000,4.9
at,nsa,f,1999.03,80000,4.8
at,nsa,f,1999.04,82000,4.9
at,nsa,f,1999.05,81000,4.8
at,nsa,f,1999.06,73000,4.4
at,nsa,f,1999.07,71000,4.3
at,nsa,f,1999.08,73000,4.4
at,nsa,f,1999.09,74000,4.4
at,nsa,f,1999.10,77000,4.6
at,nsa,f,1999.11,85000,5
at,nsa,f,1999.12,86000,5.1
at,nsa,f,2000.01,81000,4.8
at,nsa,f,2000.02,80000,4.7
at,nsa,f,2000.03,77000,4.6
at,nsa,f,2000.04,76000,4.5
at,nsa,f,2000.05,74000,4.4
at,nsa,f,2000.06,68000,4.1
at,nsa,f,2000.07,64000,3.8
at,nsa,f,2000.08,66000,3.9
at,nsa,f,2000.09,66000,3.9
at,nsa,f,2000.10,69000,4.1
at,nsa,f,2000.11,77000,4.5
at,nsa,f,2000.12,78000,4.6
at,nsa,f,2001.01,74000,4.4
at,nsa,f,2001.02,71000,4.2
at,nsa,f,2001.03,69000,4.1
at,nsa,f,2001.04,70000,4.2
at,nsa,f,2001.05,70000,4.1
at,nsa,f,2001.06,66000,3.9
at,nsa,f,2001.07,65000,3.8
at,nsa,f,2001.08,68000,4
at,nsa,f,2001.09,70000,4.1
at,nsa,f,2001.10,74000,4.3
at,nsa,f,2001.11,83000,4.8
at,nsa,f,2001.12,83000,4.8
at,nsa,f,2002.01,80000,4.6
at,nsa,f,2002.02,81000,4.6
at,nsa,f,2002.03,79000,4.5
at,nsa,f,2002.04,81000,4.6
at,nsa,f,2002.05,80000,4.5
at,nsa,f,2002.06,73000,4.2
at,nsa,f,2002.07,71000,4.1
at,nsa,f,2002.08,74000,4.2
at,nsa,f,2002.09,75000,4.3
at,nsa,f,2002.10,77000,4.4
at,nsa,f,2002.11,83000,4.7
at,nsa,f,2002.12,82000,4.6
at,nsa,f,2003.01,78000,4.4
at,nsa,f,2003.02,78000,4.4
at,nsa,f,2003.03,76000,4.3
at,nsa,f,2003.04,78000,4.4
at,nsa,f,2003.05,79000,4.5
at,nsa,f,2003.06,76000,4.3
at,nsa,f,2003.07,76000,4.4
at,nsa,f,2003.08,80000,4.6
at,nsa,f,2003.09,83000,4.8
at,nsa,f,2003.10,88000,5
at,nsa,f,2003.11,96000,5.5
at,nsa,f,2003.12,97000,5.5
at,nsa,f,2004.01,93000,5.3
at,nsa,f,2004.02,91000,5.2
at,nsa,f,2004.03,92000,5.3
at,nsa,f,2004.04,98000,5.6
at,nsa,f,2004.05,93000,5.3
at,nsa,f,2004.06,92000,5.2
at,nsa,f,2004.07,97000,5.4
at,nsa,f,2004.08,103000,5.7
at,nsa,f,2004.09,100000,5.6
at,nsa,f,2004.10,101000,5.6
at,nsa,f,2004.11,102000,5.7
at,nsa,f,2004.12,94000,5.3
at,nsa,f,2005.01,96000,5.3
at,nsa,f,2005.02,94000,5.2
at,nsa,f,2005.03,95000,5.2
at,nsa,f,2005.04,103000,5.7
at,nsa,f,2005.05,96000,5.3
at,nsa,f,2005.06,96000,5.3
at,nsa,f,2005.07,103000,5.6
at,nsa,f,2005.08,110000,5.9
at,nsa,f,2005.09,105000,5.7
at,nsa,f,2005.10,102000,5.6
at,nsa,f,2005.11,102000,5.6
at,nsa,f,2005.12,97000,5.3
at,nsa,f,2006.01,103000,5.6
at,nsa,f,2006.02,104000,5.6
at,nsa,f,2006.03,103000,5.6
at,nsa,f,2006.04,105000,5.7
at,nsa,f,2006.05,98000,5.3
at,nsa,f,2006.06,92000,4.9
at,nsa,f,2006.07,95000,5
at,nsa,f,2006.08,98000,5.1
at,nsa,f,2006.09,92000,4.8
at,nsa,f,2006.10,97000,5.1
at,nsa,f,2006.11,100000,5.3
at,nsa,f,2006.12,94000,5
at,nsa,f,2007.01,96000,5.1
at,nsa,f,2007.02,94000,5
at,nsa,f,2007.03,93000,4.9
at,nsa,f,2007.04,101000,5.3
at,nsa,f,2007.05,95000,5
at,nsa,f,2007.06,95000,5
at,nsa,f,2007.07,105000,5.4
at,nsa,f,2007.08,110000,5.6
at,nsa,f,2007.09,98000,5.1
at,nsa,f,2007.10,93000,4.9
at,nsa,f,2007.11,88000,4.6
