neighborhood,title,price,bedrooms,pid,longitude,date,subregion,link,latitude,sqft
 (bayview),Take A TOUR ON OUR ONE FURNISHED BEDROOM TODAY,$950,   / 1br -    ,4076905111,-122.396965,Sep 18 2013,SF,/sfc/apa/4076905111.html,37.761216,   / 1br -    
 (bayview),Only walking distance to major shopping centers.,$950,   / 1br -    ,4076901755,-122.396793,Sep 18 2013,SF,/sfc/apa/4076901755.html,37.761080,   / 1br -    
 (bayview),"furnished - 1 Bedroom(s), 1 Bath(s), Air Conditioner, Family Room, ",$950,   / 1br -    ,4076899340,-122.397100,Sep 18 2013,SF,/sfc/apa/4076899340.html,37.762100,   / 1br -    
 (financial district),"*NEW* Beautiful, Upscale Condo in Historic Jackson Square",$3300,   / 1br - 830ft² -    ,4067393707,-122.399747,Sep 18 2013,SF,/sfc/apa/4067393707.html,37.798108,   / 1br - 830ft² -    
 (visitacion valley),楼上全层3房,$2000,   / 3br - 1280ft² -    ,4076901071,,Sep 18 2013,SF,/sfc/apa/4076901071.html,,   / 3br - 1280ft² -    
 (bernal heights),"2 Bedroom House w/Bonus Room, Fireplace, Yard, Deck & Views",$3850,   / 2br -    ,4076899828,,Sep 18 2013,SF,/sfc/apa/4076899828.html,,   / 2br -    
 (marina / cow hollow),"♥♥♥ Chic, cozy & sunny in Marina ♥♥♥ ",$3399,      ,4076892173,,Sep 18 2013,SF,/sfc/apa/4076892173.html,,      
 (north beach / telegraph hill),Fully Furnished 2BR/2BA Condo with Bay View,$5250,   / 2br - 1000ft² -    ,4076895917,,Sep 18 2013,SF,/sfc/apa/4076895917.html,,   / 2br - 1000ft² -    
 (bayview),"We accept either 6, 12 month or month-to-month lease",$950,   / 1br -    ,4076896866,-122.397137,Sep 18 2013,SF,/sfc/apa/4076896866.html,37.762030,   / 1br -    
 (bayview),"3 Bayside Village Pl, San Francisco, CA 94107",$950,   / 1br -    ,4076892885,-122.396450,Sep 18 2013,SF,/sfc/apa/4076892885.html,37.764065,   / 1br -    
 (castro / upper market),remodeled 1bd/1ba,$2950,   / 1br - 900ft² -    ,4076891344,-122.440334,Sep 18 2013,SF,/sfc/apa/4076891344.html,37.757405,   / 1br - 900ft² -    
 (sunset / parkside),Panoramic Ocean View 2 Bedroom House,$3500,   / 2br - 1400ft² -    ,4060191270,-122.483582,Sep 18 2013,SF,/sfc/apa/4060191270.html,37.748315,   / 2br - 1400ft² -    
 (russian hill),Condo for rent,$2800,   / 1br - 720ft² -    ,4076859550,-122.419280,Sep 18 2013,SF,/sfc/apa/4076859550.html,37.800361,   / 1br - 720ft² -    
 (russian hill),This Beautiful Condo for rent,$2700,   / 1br - 720ft² -    ,4076794143,-122.409100,Sep 18 2013,SF,/sfc/apa/4076794143.html,37.800200,   / 1br - 720ft² -    
 (mission district),"Brand New Beautiful 1 Bedroom, 1 Bathroom ",$2100,   / 1br -    ,4076879610,-122.439626,Sep 18 2013,SF,/sfc/apa/4076879610.html,37.719284,   / 1br -    
 (excelsior / outer mission),10-month sublet Furnished 2 BR Home in Mission Terrace utls. included,$2600,   / 2br - 900ft² -    ,4041653284,-122.439850,Sep 18 2013,SF,/sfc/apa/4041653284.html,37.723481,   / 2br - 900ft² -    
 (inner sunset / UCSF),"Spacious Home, Freshly Painted & New Floors, W& D - Open Fri 5-6pm",$2850,   / 2br -    ,4076867759,-122.483600,Sep 18 2013,SF,/sfc/apa/4076867759.html,37.759300,   / 2br -    
 (russian hill),A wholesome Apartment to suit your demand ,$3500,   / 2br - 1054ft² -    ,4076794509,-122.418600,Sep 18 2013,SF,/sfc/apa/4076794509.html,37.791700,   / 2br - 1054ft² -    
 (castro / upper market),"Unfurnished Custom Home not a Flat, backyard w/views. Pets Okay.",$6100,   / 3br -    ,4050301632,-122.435472,Sep 18 2013,SF,/sfc/apa/4050301632.html,37.765727,   / 3br -    
 (castro / upper market),"Furnished Custom Edwardian Home, backyard w/views. Pets Okay.",$6495,   / 3br -    ,4050192349,-122.435472,Sep 18 2013,SF,/sfc/apa/4050192349.html,37.765727,   / 3br -    
 (Lake Tahoe),House sitting $890 1500ft² -Sun deck- 8 to 12 mo,$890,      ,4076829439,,Sep 18 2013,SF,/sfc/apa/4076829439.html,,      
 (pacific heights),"Remodeled, cozy one bedroom in Pacific Heights",$2800,   / 1br -    ,4076869885,-122.443753,Sep 18 2013,SF,/sfc/apa/4076869885.html,37.787647,   / 1br -    
 (haight ashbury),Sunny top floor 960 sq ft 2 bd,$3500,   / 2br - 960ft² -    ,4076867004,-122.445535,Sep 18 2013,SF,/sfc/apa/4076867004.html,37.771142,   / 2br - 960ft² -    
 (inner richmond),***OPEN SAT 9/21 12:00pm-2:00pm*** ,$2200,   / 2br - 700ft² -    ,4076851460,-122.461400,Sep 18 2013,SF,/sfc/apa/4076851460.html,37.781200,   / 2br - 700ft² -    
 (mission district),"GORGEOUS BRAND NEW HIGH-END CONDOS COMING SOON!DECKS,PATIOS,PARKG,W&D",$3695,   / 1br -    ,4076843126,,Sep 18 2013,SF,/sfc/apa/4076843126.html,,   / 1br -    
 (bayview),New remodeled 3 BR/3 BA plus office single family house ,$3000,   / 3br - 1476ft² -    ,4072178511,-122.391171,Sep 18 2013,SF,/sfc/apa/4072178511.html,37.719829,   / 3br - 1476ft² -    
 (SOMA / south beach),Furnished Bright Condo with Incredible Views - RelISTO ,$4500,   / 1br - 900ft² -    ,4052254551,,Sep 18 2013,SF,/sfc/apa/4052254551.html,,   / 1br - 900ft² -    
 (richmond / seacliff),CliffHouse Ocean View 3BR/2BA 2 Indoor Parking Available 1st of OCT. ,$3600,   / 3br - 1450ft² -    ,4059907648,-122.511295,Sep 18 2013,SF,/sfc/apa/4059907648.html,37.775076,   / 3br - 1450ft² -    
 (tenderloin),ALL UTILTIIES INCLUDED!!Sunny and spacious studio steps fm polk Gultch,$1625,      ,4076752401,,Sep 18 2013,SF,/sfc/apa/4076752401.html,,      
 (SOMA / south beach),Open House 9/21 @2pm! Bright Urban Live /Work,$3695,   / 1br - 1000ft² -    ,4076724706,,Sep 18 2013,SF,/sfc/apa/4076724706.html,,   / 1br - 1000ft² -    
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment Walking Distance to Whole Foods Market,$5200,   / 3br - 1500ft² -    ,4076809356,-122.456145,Sep 18 2013,SF,/sfc/apa/4076809356.html,37.722762,   / 3br - 1500ft² -    
 (lower pac hts),Large Jr. One Bedroom $2395.00,$2395,   / 1br - 575ft² -    ,4076816644,-122.426768,Sep 18 2013,SF,/sfc/apa/4076816644.html,37.787403,   / 1br - 575ft² -    
 (richmond / seacliff),New remod.top flat on 22nd Ave.,$3800,   / 4br -    ,4076816059,-122.481187,Sep 18 2013,SF,/sfc/apa/4076816059.html,37.775611,   / 4br -    
 (lower nob hill),ALL UTILITIES INCLUDED!!Sunny and Spacious STEPS from DT!Not TL,$1995,      ,4076670538,-122.412105,Sep 18 2013,SF,/sfc/apa/4076670538.html,37.786865,      
 (alamo square / nopa),HURRY!!!Sunny and Spacious studio STEPS from Alamo SQ Park!,$2175,      ,4076732050,-122.250000,Sep 18 2013,SF,/sfc/apa/4076732050.html,37.500000,      
 (financial district),Golden Gateway Commons | 2BR + office townhouse & 4 decks!!,$5500,   / 2br - 1450ft² -    ,4036170429,,Sep 18 2013,SF,/sfc/apa/4036170429.html,,   / 2br - 1450ft² -    
 (marina / cow hollow),Beautiful Studio in the Marina,$2350,      ,4076767117,-122.445270,Sep 18 2013,SF,/sfc/apa/4076767117.html,37.803493,      
 (SOMA / south beach),Huge Loft - Office - Den - Sun Room - Roof - ReLISTO,$6000,   / 1br - 1600ft² -    ,4076759063,,Sep 18 2013,SF,/sfc/apa/4076759063.html,,   / 1br - 1600ft² -    
 (potrero hill),Open House 9/21 @ 1pm -Luxurious Penthouse - Now Available - ReLISTO ,$11495,   / 3br -    ,4072013382,,Sep 18 2013,SF,/sfc/apa/4072013382.html,,   / 3br -    
 (lower pac hts),I WANT TO LIVE HERE!!Stunning 2BR/2BTH with Laundry!WALK TO FILLMORE,$3900,   / 2br -    ,4076664875,,Sep 18 2013,SF,/sfc/apa/4076664875.html,,   / 2br -    
 (lower pac hts),LIVE STEPS FROM FILLMORE STREET!Fitness Ctr and BBQ!,$4795,   / 2br -    ,4076735477,,Sep 18 2013,SF,/sfc/apa/4076735477.html,,   / 2br -    
,Ocean View Home 3br+familyroom w/ 2 decks! Close to UCSF and Mt. Sutro,$4995,   / 3br -    ,4076782225,-122.459616,Sep 18 2013,SF,/sfc/apa/4076782225.html,37.756145,   / 3br -    
 (potrero hill),Open House!Live OnTop of Potrero - HotTub/Views/Pool - ReLISTO ,$11495,   / 3br -    ,4072022069,,Sep 18 2013,SF,/sfc/apa/4072022069.html,,   / 3br -    
 (richmond / seacliff),Cute & Cozy One Bedroom Garden in-law,$1250,   / 1br - 300ft² -    ,4076775017,,Sep 18 2013,SF,/sfc/apa/4076775017.html,,   / 1br - 300ft² -    
 (laurel hts / presidio),4 Bedroom in an AWESOME location in the Park,$4195,   / 4br - 1390ft² -    ,4075860449,-122.456639,Sep 18 2013,SF,/sfc/apa/4075860449.html,37.795237,   / 4br - 1390ft² -    
 (downtown / civic / van ness),"One Bedroom Apartment Downtown, Pet Friendly! #402",$1745,   / 1br -    ,4075809702,-122.412827,Sep 18 2013,SF,/sfc/apa/4075809702.html,37.785087,   / 1br -    
 (Candlestick Point),Bright Spacious Condo w/ 2 Deeded Parking,$2395,   / 2br - 1337ft² -    ,4046069088,-122.389669,Sep 18 2013,SF,/sfc/apa/4046069088.html,37.711105,   / 2br - 1337ft² -    
 (downtown / civic / van ness),HURRY..FOX PLAZA SPECIAL~1/2 DEPOSIT~GORGEOUS SF VIEWS!!!!,$1999,      ,4075853919,-122.417402,Sep 18 2013,SF,/sfc/apa/4075853919.html,37.776619,      
 (lower nob hill),I WANT THIS APARTMENT!!BRAND NEW RENOVATION!!Trendy neighborhood,$2195,      ,4075750309,-122.413425,Sep 18 2013,SF,/sfc/apa/4075750309.html,37.788018,      
 (nob hill),3 BR Charming Spacious Nob Hill Apartment,$6900,   / 3br -    ,4026383635,-122.446974,Sep 18 2013,SF,/sfc/apa/4026383635.html,37.788186,   / 3br -    
 (lower pac hts),8th Floor Corner 2/2 Open Bright Spacious Floorplan Priv. Balcony Pets,$3900,   / 2br - 1200ft² -    ,4075813472,-122.424858,Sep 18 2013,SF,/sfc/apa/4075813472.html,37.786196,   / 2br - 1200ft² -    
 (laurel hts / presidio),ADA Accessible 2 Bedroom Home Available for Move In,$2850,   / 2br - 1010ft² -    ,4075839829,-122.481133,Sep 18 2013,SF,/sfc/apa/4075839829.html,37.790472,   / 2br - 1010ft² -    
 (downtown / civic / van ness),CITY LIVING FURNISHED 1 BED 1 BATH! PARKING! ROOF DECK! HARDWOOD!,$3000,   / 1br -    ,4065372764,,Sep 18 2013,SF,/sfc/apa/4065372764.html,,   / 1br -    
 (russian hill)," RUSSIAN HILL LUXURY CONDO! 3 BED 3 BATH! PKG! DAWN CUSULOS, AMSI",$7950,   / 3br -    ,4067923709,-122.413074,Sep 18 2013,SF,/sfc/apa/4067923709.html,37.797125,   / 3br -    
 (potrero hill),Bright Spacious Garden Home with Views! - ReLISTO ,$4500,   / 2br -    ,4050726735,,Sep 18 2013,SF,/sfc/apa/4050726735.html,,   / 2br -    
 (SOMA / south beach),Park Terrace: 325 Berry St. #614,$3350,   / 1br - 680ft² -    ,4075728049,,Sep 18 2013,SF,/sfc/apa/4075728049.html,,   / 1br - 680ft² -    
 (hayes valley),HAYES VALLEY FABULOUS FURNISHED 2 BED 2 BATH CONDO! AMAZING SPACE! PKG!,$4500,   / 2br -    ,4056333413,,Sep 18 2013,SF,/sfc/apa/4056333413.html,,   / 2br -    
 (ingleside / SFSU / CCSF),Furnished Luxury Apartment Walking Distance to Whole Foods Market,$5200,   / 3br - 1500ft² -    ,4068140340,-122.456145,Sep 18 2013,SF,/sfc/apa/4068140340.html,37.722762,   / 3br - 1500ft² -    
