lat,lon,date,city,country
41.0149629,29.0107621,07/07/2014 16:56,Istanbul,Turkey
41.0331927,28.9820406,07/08/2014 15:30,Istanbul,Turkey
41.0097674,28.954203,07/08/2014 20:33,Istanbul,Turkey
40.9847229,28.8316584,07/06/2014 21:43,Istanbul,Turkey
40.9793871,28.8187957,07/06/2014 21:12,Istanbul,Turkey
37.9339127,23.9458047,07/06/2014 17:27,Attica,Greece
37.9688762,23.7281395,07/05/2014 14:05,Athens,Greece
37.9892248,23.7315976,07/06/2014 10:42,Athens,Greece
37.921659,22.929848,07/05/2014 03:52,Peloponnese,Greece
38.1490189,22.3514213,07/05/2014 03:06,Dytiki Ellada,Greece
38.3747875,21.633931,07/05/2014 01:36,Dytiki Ellada,Greece
38.4890041,21.3400313,07/05/2014 00:52,Dytiki Ellada,Greece
38.54147934,21.28409073,07/05/2014 00:52,Dytiki Ellada,Greece
38.55833199,21.26011286,07/05/2014 00:50,Dytiki Ellada,Greece
39.0400212,21.1200769,07/04/2014 23:58,Dytiki Ellada,Greece
41.1143159,20.7986329,07/01/2014 15:11,Ohrid,Macedonia (FYROM)
42.2081913,20.7361949,06/29/2014 13:54,Prizren,Kosovo
44.8147632,20.4629939,06/21/2014 10:14,Belgrade,Serbia
39.9111658,20.3618013,07/04/2014 20:49,Kakavia,Greece
44.8211643,20.2898206,06/21/2014 01:59,Belgrade,Serbia
40.1878266,20.0793039,07/04/2014 17:39,Gjirokastër,Albania
49.9848481,20.0524206,06/01/2014 10:25,Wieliczka,Poland
49.9931846,20.0434783,06/01/2014 07:40,Wieliczka,Poland
50.0619015,19.9370671,05/30/2014 20:25,Krakow,Poland
40.7021947,19.9464318,07/03/2014 23:14,Berat,Albania
50.0897229,19.9181189,05/30/2014 18:10,Krakow,Poland
50.0973304,19.8953944,05/30/2014 17:59,Krakow,Poland
50.0357467,19.8359321,05/31/2014 13:40,Krakow,Poland
50.0775064,19.8091708,06/02/2014 05:40,Krakow,Poland
50.0340482,19.6125103,05/31/2014 13:25,Chrzanów County,Poland
44.7615833,19.5779042,06/22/2014 07:58,Slepčević,Serbia
50.3063515,19.4756748,05/30/2014 17:25,Olkusz County,Poland
50.1459569,19.4649668,06/02/2014 05:54,Trzebinia,Poland
50.0725352,19.4339893,05/31/2014 13:10,"Wygiełzów, Lesser Poland Voivodeship",Poland
50.1543968,19.2441361,06/02/2014 06:10,Imielin,Poland
50.3284979,19.2424844,05/30/2014 17:10,Dabrowa Gornicza,Poland
50.0514717,19.213068,05/31/2014 12:55,"Babice, Oświęcim County",Poland
50.0279986,19.2016098,05/31/2014 08:24,Oswiecim,Poland
50.4893042,19.0983815,05/30/2014 16:10,Zendek,Poland
50.4622715,19.0815141,06/02/2014 07:10,Tarnowskie Góry County,Poland
50.4492979,19.0605598,05/30/2014 16:39,Tarnowskie Góry County,Poland
50.3736895,18.8892047,06/02/2014 07:25,Bytom,Poland
50.2547209,18.8870225,06/02/2014 06:25,Ruda Slaska,Poland
42.4234614,18.771572,06/28/2014 21:09,Kotor,Montenegro
50.2736325,18.7294285,06/02/2014 06:55,Gliwice,Poland
43.8595181,18.4259234,06/23/2014 07:12,Sarajevo,Bosnia and Herzegovina
43.8585619,18.3974783,06/23/2014 14:12,Sarajevo,Bosnia and Herzegovina
49.9005024,18.3465247,06/02/2014 08:10,Novy Bohumin,Czech Republic
49.8213494,18.2090604,06/02/2014 08:24,Ostrava,Czech Republic
42.66109,18.0853503,06/26/2014 21:00,Dubrovnik,Croatia
49.6636426,17.9267558,06/02/2014 09:09,Suchdol nad Odrou,Czech Republic
43.3456864,17.8114795,06/24/2014 08:05,Mostar,Bosnia and Herzegovina
49.559495,17.7181638,06/02/2014 09:25,Hranice,Czech Republic
42.9118892,17.627881,06/26/2014 17:12,Herzegovina-Neretva Canton,Bosnia and Herzegovina
43.0494048,17.4348518,06/24/2014 13:49,Ploče,Croatia
49.450555,17.4190687,06/02/2014 09:40,Prerov,Czech Republic
43.5109954,16.4363287,06/24/2014 19:19,Split,Croatia
49.9668788,16.4022121,06/02/2014 10:55,Ústí nad Orlicí,Czech Republic
50.0418467,15.3950116,06/02/2014 11:40,Kojice,Czech Republic
49.9705236,15.3103109,06/04/2014 18:41,Nové Dvory (Kutná Hora District),Czech Republic
49.9597606,15.2904163,06/04/2014 12:56,Kutna Hora,Czech Republic
49.9488707,15.2801565,06/04/2014 18:27,Kutna Hora,Czech Republic
49.9675512,15.2771381,06/04/2014 12:12,Kutna Hora,Czech Republic
49.9482673,15.264785,06/04/2014 13:57,Kutna Hora,Czech Republic
49.9373516,15.2659212,06/04/2014 15:42,Kutna Hora,Czech Republic
50.0280826,15.2108136,06/04/2014 19:12,Kolin,Czech Republic
50.1212466,14.99529,06/02/2014 11:55,Sadská,Czech Republic
50.1088254,14.9214424,06/04/2014 11:27,Poříčany,Czech Republic
50.0713611,14.8375136,06/04/2014 19:42,Český Brod,Czech Republic
50.0768288,14.7100146,06/04/2014 11:12,Úvaly,Czech Republic
50.0877291,14.6606001,06/02/2014 12:10,Prague,Czech Republic
50.085036,14.5703343,06/04/2014 19:56,Prague,Czech Republic
50.1015078,14.4977957,06/04/2014 10:57,Prague,Czech Republic
50.0747253,14.4438536,06/02/2014 19:55,Prague,Czech Republic
50.0870367,14.4073903,06/05/2014 15:21,Prague,Czech Republic
50.0524104,14.2921832,06/06/2014 13:07,Prague,Czech Republic
49.9711561,14.1036316,06/06/2014 13:22,Beroun,Czech Republic
49.7863143,13.7184234,06/06/2014 13:36,Mýto,Czech Republic
49.6986203,13.4232197,06/06/2014 13:51,Plzen,Czech Republic
49.71359644,13.14887376,06/06/2014 14:07,Blatnice,Czech Republic
49.7081671,13.045332,06/06/2014 14:21,Kostelec,Czech Republic
49.66003641,12.55782719,06/06/2014 14:25,Rozvadov,Czech Republic
49.3986061,11.8477583,06/06/2014 14:52,Kümmersbruck,Germany
48.3562848,11.7917104,07/09/2014 13:17,Munich,Germany
49.4080691,11.2899446,06/06/2014 15:06,Winkelhaid,Germany
49.3099178,10.9893089,06/06/2014 15:21,Kammerstein,Germany
49.2602204,10.5479229,06/06/2014 15:37,Ansbach,Germany
48.6936721,9.4128045,06/06/2014 18:21,Wernau,Germany
49.16301872,9.37027094,06/06/2014 16:30,Ellhofen,Germany
49.157873,9.3457177,06/06/2014 16:37,Obersulm,Germany
48.5563514,9.2734723,06/06/2014 18:37,Riederich,Germany
48.6912899,9.1917704,06/12/2014 13:29,Stuttgart,Germany
48.7858451,9.1879941,06/06/2014 17:51,Stuttgart,Germany
