pid,date,region,neighborhood,rent,bedrooms,sqft,rent_sqft,rent_sqft_cat,longitude,latitude
4454264047,2014-05-11,santabarbara,,3500.0,3.0,1200.0,2.91666666667,5,-119.72698700000001,34.399757
4468128892,2014-05-13,washingtondc,14300 Jeffries Rd Ste 1207,1099.0,2.0,775.0,1.41806451613,4,-77.2683,38.6356
4474037012,2014-05-16,washingtondc,Bethesda,2743.0,1.0,714.0,3.8417366946800007,5,-77.1022,39.0003
4482003715,2014-05-21,sandiego,escondido,995.0,1.0,614.0,1.62052117264,4,-116.95098899999999,32.807693
4488888498,2014-05-26,batonrouge,Denham Springs,1000.0,3.0,1100.0,0.909090909091,2,-90.942121,30.438018
4496333550,2014-05-30,phoenix,Tempe,875.0,2.0,900.0,0.972222222222,2,-111.899847,33.407446
4511903470,2014-06-09,kansascity,Westside / Crossroads,980.0,2.0,980.0,1.0,3,-94.589923,39.092269
4524061401,2014-06-16,rochester,106 Edgerton,1125.0,2.0,1100.0,1.0227272727299999,3,-77.581158,43.146495
4535208051,2014-06-23,seattle,bellevue,2001.0,2.0,1010.0,1.9811881188099998,5,-122.1663,47.615
4548031631,2014-07-01,sfbay,daly city,3500.0,3.0,1190.0,2.9411764705900003,5,-122.380149,37.72937
4573697663,2014-07-17,saltlakecity,14901 Steep Mountain Drive,1650.0,4.0,3154.0,0.523145212429,1,-111.875961,40.483255
