rent,bedrooms,sqft,latitude,longitude,date
2150.0,3.0,,37.833301,-122.254525,2014-06-19
25498.0,2.0,910.0,37.534535999999996,-122.299779,2014-07-08
1400.0,2.0,800.0,37.015489,-121.587796,2014-07-08
1597.0,,386.0,37.310883000000004,-121.950268,2014-06-09
395.0,,,39.1194,-122.8315,2014-05-29
2680.0,1.0,848.0,37.406240000000004,-121.996071,2014-06-24
1675.0,2.0,800.0,37.897525,-122.50898500000001,2014-05-18
3110.0,1.0,645.0,37.783784999999995,-122.39893,2014-05-13
1720.0,1.0,716.0,38.416846,-122.703166,2014-07-02
1100.0,,465.0,37.9156,-122.2985,2014-05-19
2146.0,1.0,652.0,37.533654,-122.29946100000001,2014-05-15
1525.0,,550.0,37.293942,-121.965668,2014-05-22
3500.0,1.0,,37.793015000000004,-122.40901000000001,2014-06-09
5295.0,4.0,2800.0,37.817836,-122.232492,2014-06-07
1595.0,1.0,,37.402349,-122.066581,2014-05-13
2000.0,1.0,610.0,37.852645,-122.25995800000001,2014-05-14
2600.0,2.0,1007.0,37.707435,-121.88758,2014-05-21
1731.0,1.0,713.0,37.6586,-122.0472,2014-05-31
1830.0,1.0,701.0,37.634484,-122.11196299999999,2014-06-14
1550.0,1.0,632.0,37.253503,-121.90226799999999,2014-06-02
1850.0,2.0,,37.77102,-122.279527,2014-06-21
1400.0,,,37.8071,-122.2851,2014-06-22
5799.0,2.0,1525.0,37.78360900000001,-122.38984599999999,2014-05-17
3195.0,4.0,1064.0,37.928289,-122.013774,2014-06-02
1400.0,1.0,610.0,37.662729999999996,-121.78446399999999,2014-05-21
3600.0,1.0,946.0,37.783401,-122.399111,2014-07-07
2195.0,,,37.790045,-122.40969399999999,2014-05-11
3085.0,2.0,1130.0,37.3391,-121.9016,2014-06-24
2901.0,1.0,880.0,37.881347999999996,-122.46073999999999,2014-06-23
2795.0,1.0,743.0,37.491212,-122.230883,2014-06-30
3200.0,3.0,1104.0,37.775507,-121.96266200000001,2014-06-20
1650.0,1.0,,37.662488,-121.880651,2014-07-01
2010.0,2.0,976.0,37.7562,-121.9522,2014-05-18
950.0,,460.0,37.951929,-122.330973,2014-05-27
2189.0,1.0,650.0,37.909228999999996,-122.06638799999999,2014-06-19
2685.0,1.0,862.0,37.406574,-121.941612,2014-06-14
1395.0,,450.0,37.471591,-122.13795900000001,2014-05-19
6950.0,5.0,3500.0,37.240943,-121.994869,2014-05-16
1400.0,3.0,,36.923542,-121.36853300000001,2014-05-21
3670.0,1.0,,37.785826,-122.397158,2014-06-28
1850.0,1.0,500.0,37.346027,-121.89648799999999,2014-06-25
2370.0,2.0,904.0,37.920414,-122.036308,2014-06-02
2500.0,3.0,1385.0,37.531508,-121.986177,2014-07-02
1685.0,1.0,483.0,37.387381,-122.013295,2014-07-06
2289.0,1.0,764.0,37.633649,-122.48585800000001,2014-05-28
2650.0,2.0,1087.0,37.509164,-122.29662900000001,2014-06-23
1695.0,1.0,,37.868325,-122.26428,2014-06-13
1700.0,2.0,850.0,37.3518,-121.8508,2014-05-27
1990.0,,,37.802307,-122.417028,2014-05-27
3400.0,1.0,,37.778942,-122.397301,2014-06-02
1900.0,4.0,2000.0,37.713573,-121.435801,2014-05-22
1829.0,1.0,,37.67653,-121.87523,2014-06-25
3450.0,2.0,,37.948557,-122.506747,2014-05-27
2800.0,1.0,,37.827582,-122.228522,2014-05-28
1450.0,1.0,600.0,37.86237,-122.28009099999998,2014-06-10
1695.0,,400.0,37.79031,-122.407592,2014-05-14
1200.0,1.0,,37.7806,-122.2166,2014-05-17
1500.0,1.0,,37.686976,-122.097043,2014-06-27
2850.0,2.0,1000.0,37.379655,-122.05458600000001,2014-05-24
5200.0,3.0,2150.0,37.3814,-122.1258,2014-06-09
7500.0,3.0,1855.0,37.757098,-122.397945,2014-06-16
1500.0,2.0,,37.694009,-122.059822,2014-07-09
1899.0,1.0,625.0,37.760858,-121.948453,2014-06-18
850.0,1.0,95.0,37.716089000000004,-122.47071399999999,2014-06-01
2250.0,,418.0,37.790151,-122.40885300000001,2014-07-10
2695.0,2.0,,37.582285999999996,-122.33066699999999,2014-05-18
1479.0,1.0,728.0,38.4674,-122.748828,2014-05-11
3246.0,3.0,1267.0,37.534535999999996,-122.299779,2014-05-14
1295.0,,,37.249563,-121.880404,2014-07-05
1800.0,4.0,1664.0,37.969982,-121.77823300000001,2014-05-29
1770.0,1.0,775.0,37.757093,-121.908503,2014-05-25
2395.0,2.0,,37.469299,-122.214491,2014-06-13
,,,36.988607,-121.982557,2014-05-15
1695.0,1.0,600.0,37.356392,-121.95582900000001,2014-05-21
1650.0,4.0,,38.146914,-122.22845,2014-06-16
1900.0,,,37.7593,-122.4836,2014-07-06
1249.0,1.0,,38.341577,-122.708611,2014-05-19
4000.0,2.0,1200.0,37.788872,-122.44710900000001,2014-05-16
2050.0,1.0,683.0,37.84617100000001,-122.293025,2014-05-19
1750.0,1.0,550.0,37.395238,-122.09527,2014-05-21
2180.0,1.0,700.0,37.843953000000006,-122.29418600000001,2014-05-21
1950.0,2.0,975.0,38.066408,-122.54193400000001,2014-07-02
4400.0,3.0,1200.0,37.246181,-121.95961499999999,2014-06-18
3500.0,2.0,,37.37844000000001,-122.029771,2014-06-20
3800.0,,,37.782959999999996,-122.45436399999998,2014-06-17
2321.0,1.0,700.0,37.371006,-122.01556599999999,2014-06-19
2315.0,1.0,784.0,37.9182,-122.0717,2014-06-16
1350.0,,550.0,37.864926000000004,-122.26128,2014-05-24
1731.0,,504.0,37.532086,-122.286827,2014-06-16
2100.0,1.0,,37.761919,-122.47808,2014-05-16
3800.0,2.0,,37.789955,-122.410399,2014-05-29
800.0,1.0,675.0,38.271914,-122.045424,2014-07-10
2600.0,4.0,1600.0,37.532737,-122.023972,2014-07-05
2600.0,2.0,1100.0,37.560466,-122.05063799999999,2014-05-13
2368.0,2.0,1160.0,37.757144,-121.90854499999999,2014-05-30
3750.0,1.0,,37.769603000000004,-122.426309,2014-06-18
3050.0,,,37.7917,-122.4186,2014-06-16
1350.0,,386.0,37.3483,-121.9844,2014-06-11
3900.0,2.0,1350.0,37.887386,-122.28770300000001,2014-06-19
5250.0,2.0,1000.0,37.79522,-122.427499,2014-05-14
2499.0,2.0,1016.0,37.243916,-121.871879,2014-07-10
2299.0,2.0,1742.0,38.480789,-122.726941,2014-06-25
2300.0,3.0,2465.0,38.160662,-122.24034499999999,2014-06-14
2790.0,2.0,1000.0,37.560735,-122.269778,2014-06-25
1575.0,2.0,888.0,38.468459,-122.75968600000002,2014-06-19
1745.0,1.0,630.0,37.406079,-122.11378799999999,2014-05-31
1595.0,1.0,,37.80093400000001,-122.25051599999999,2014-05-28
3697.0,1.0,1101.0,37.764021,-122.39373,2014-05-28
1675.0,2.0,950.0,37.697201,-122.11496799999999,2014-06-20
5500.0,3.0,1200.0,37.448645,-122.140524,2014-06-29
3058.0,2.0,1043.0,37.403437,-122.009525,2014-06-29
3000.0,4.0,1365.0,37.253043,-121.851463,2014-05-18
2100.0,2.0,1005.0,37.714754,-121.913395,2014-06-25
1249.0,2.0,,38.011072999999996,-121.82824699999999,2014-05-20
2695.0,,,37.802986,-122.42814299999999,2014-05-20
3760.0,3.0,1381.0,37.560763,-122.325998,2014-06-07
1147.0,1.0,,37.119822,-121.638478,2014-05-21
1095.0,,1.0,37.797027,-122.248851,2014-06-09
3200.0,2.0,1415.0,37.8071,-122.2851,2014-05-30
1995.0,1.0,600.0,37.281655,-121.935767,2014-06-28
2500.0,3.0,1500.0,36.936721,-121.861897,2014-05-17
12000.0,2.0,,37.79868,-122.415572,2014-06-16
3055.0,3.0,1366.0,37.276838,-121.854175,2014-07-05
1717.0,1.0,685.0,37.5368,-122.032,2014-06-12
1995.0,2.0,850.0,37.272021,-121.96137900000001,2014-05-30
1795.0,2.0,,37.293742,-121.972968,2014-06-21
1995.0,,,37.790151,-122.40885300000001,2014-06-14
1895.0,2.0,,37.01586,-121.591429,2014-05-22
1100.0,1.0,,37.121608,-122.113853,2014-06-12
2422.0,1.0,804.0,37.39574,-121.956769,2014-05-22
2850.0,3.0,1300.0,37.074628000000004,-122.05518700000002,2014-05-27
1630.0,1.0,,38.181529,-122.253413,2014-06-29
1495.0,1.0,700.0,37.818582,-122.250731,2014-07-09
1700.0,2.0,,37.85439,-122.278497,2014-06-27
2917.0,2.0,1100.0,37.398784,-121.921334,2014-07-12
