addr:city,addr:country,addr:housename,addr:housenumber,addr:postcode,addr:state,addr:street,addr:unit,address,alt_name,amenity,amenity_1,atm,capacity,contact:email,contact:phone,contact:website,cooperative,craft,cuisine,cuisine_1,delivery,denomination,diet:vegan,diet:vegetarian,disused:contact:phone,disused:contact:website,disused:opening_hours,drive_in,ele,email,entrance,fax,food,former:name,gnis:county_id,gnis:created,gnis:edited,gnis:feature_id,gnis:state_id,happy_hours,historic:name,historical:name,internet_access,internet_access:fee,lat,lon,microbrewery,min_age,name,name_1,name_2,name_3,note,old_name,opening_hours,operator,organic,outdoor_seating,payment:bitcoin,phone,religion,shop,smoking,source_1,takeaway,toilets,url,website,wheelchair,wifi,wikipedia
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8671499,-122.2582971,,,Berkeley Thai House,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8647961,-122.2671401,,,Herbivore The Earthly Grill,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8733273,-122.2648839,,,Pat Brown's Grille,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8672312,-122.2586919,,,Tako Sushi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8686468,-122.2575455,,,Julie's Healthy Cafe,,,,,,,,,,,,,,,,,,,,,,
Berkeley,,,1800,94703,,University Avenue,,,,restaurant,,,,,,,,,burger,,,,,,,,,no,,,,,,,,,,,,,,,,,37.8711091,-122.2748808,no,,Nation's Giant Hamburgers,,,,,,,,,,,+1 510 8437326,,,no,,,,,,yes,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8622626,-122.2813596,,,Homemade Cafe,,,,,,,,,,,,,,,,,,,,,,
Berkeley,,,3290,94703,,Adeline Street,,,,restaurant,,,,,,,,,Comfort_Food,,,,,,,,,,,,,,,,,,,,,,,,,,37.8488468,-122.2717547,,,Next Door,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7660897,-122.2410036,,,New York Pizza,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7658404,-122.2409454,,,Alameda Grill Hamburgers,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7663244,-122.2408049,,,Genghis Khan Kitchen,,,,Mongolian Barbecue,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7655891,-122.2410175,,,Sandwich Board,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7657268,-122.2413023,,,Habana,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7649191,-122.2414027,,,Ton Shen,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7650947,-122.2418224,,,La Penca Azul,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7650077,-122.2419109,,,Panda Restaurant,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7649695,-122.2415099,,,Sakura Sushi & Grill,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7638883,-122.2428532,,,House of Bagels,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7634611,-122.243194,,,Tomatina,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7631265,-122.2439216,,,Angkor Grill,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.763029,-122.2429501,,,C'era Una Volta,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7631405,-122.2434581,,,Bowzer's Pizza,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7629891,-122.2435659,,,Juanita's,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,bagel,,,,,,,,,,,,,,,,,,,,,,,,,,37.7616656,-122.2451223,,,Boogie Woogie Bagel Boy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7618888,-122.2449595,,,Fire Den Bar & Grill,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,japanese,,,,,,,,,,,,,,,,,,,,,,,,,,37.7621136,-122.2447801,,,Tetsu Ramen,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7622403,-122.2446824,,,Dimitra's Sandwiches,,,,,,,,,,,,,,,,,,,,,,
Alameda,,,1301,94501,,Park Street,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7627131,-122.2442763,,,Lucky 13,,,,,,,,,,,510-523-2118,,,,,,,,http://www.lucky13alameda.com/,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7630888,-122.2431045,,,Yellow Tail Japanese Bistro,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7628465,-122.2441472,,,Homeroom Racing Cafe,,,,,,,,,,,,,,,,,,,,,,
Alameda,,,2321,94501,CA,Alameda Avenue,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7637726,-122.244117,,,Taqueria Ramiro,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7635594,-122.2435469,,,Flavors of India,,,,,,,,,,,,,,,,,,,,,,
Alameda,,,1345,94501,,Park St,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7636743,-122.2434417,,,Burma Superstar,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7639623,-122.2431875,,,Spice I am,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7640768,-122.2431016,,,Robeks Juice,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7642855,-122.2433332,,,Pappo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7645501,-122.243952,,,Café Central,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7644352,-122.2431742,,,Burger Meister,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7643928,-122.2430562,,,Taqueria Viva Mexico,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7644649,-122.2428068,,,Ark Chinese Restaurant,,,,,,,,,,,,,,,,,,,,,,
