access,addr.source:housenumber,addr:city,addr:country,addr:floor,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:state,addr:street,addr:unit,address,alt_name,alt_name_1,amenity,atm,atm:operator,building,building:levels,building:material,capacity,construction,contact:email,contact:facebook,contact:google_plus,contact:instagram,contact:phone,contact:website,cuisine,delivery,description,designation,diet:halal,diet:vegan,diet:vegetarian,disused,drive_in,drive_through,ele,email,ethnicity,fax,fixme,food,gnis:county_id,gnis:created,gnis:edited,gnis:feature_id,gnis:state_id,happy_hour,inside_atm,internet_access,internet_access:fee,lat,layer,live_music,lon,microbrewery,name,name:en,name:zh,note,old_name,opening_hours,operator,outdoor_seating,payment:bitcoin,payment:discover_card,payment:litecoin,payment:mastercard,payment:visa,phone,pizza,postal_code,pupuseria,shop,smoking,takeaway,taqueria,toilets:wheelchair,type,url,website,wheelchair,wheelchair:description,wifi,wikipedia,wpt_description,yelp
,,,,,,1601,,94117,,Haight Street,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7696028,,,-122.4487897,,Hobson's Choice,,,,,,,,,,,,,+1 415 621 5859,,,,,,,,,,,,,,no,,,
,,San Francisco,,,,155,,,,Columbus Avenue,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7969638,,,-122.4056426,,Comstock Saloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.758893,,,-122.4126449,,The American Grilled Cheese Kitchen,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,,,,,,,,limited,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7595434,,,-122.4141826,,John O'Connell High School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,pancake,,,,,,,,,,,,,,Move to building area,,,,,,,,,,,37.799207,,,-122.438939,,IHOP,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,Diner,,,,,,,,,,,,,,,,,,,,,,,,,37.7995505,,,-122.4370481,,Mel's Drive-in,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,
,,,,,,,,,,,,,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7473791,,,-122.4138441,,Saint Anthony - Immaculate Conception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,San Francisco,US,,,198,,94103,,Guerrero Street,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.768083,,,-122.424584,,Mission Beach Cafe,,,,,,,,,,,,,+1 415 8610198,,,,,,,,,,,,,,,,,
,,,,,,290,,,,Valencia Street,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7686528,,,-122.4223942,,Paulines,,,,,,,,,,,,,,good,,,,,,,,,,,,,,,,
,,,,,,3149,,,,16th Street,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7647314,,,-122.4229831,,Monk's Kettle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,San Francisco,US,,,44,,,CA,Ellis Street,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7857263,,,-122.4070667,,Le Joulins Jazz Bistro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,San Francisco,,,,63,,94102,CA,Ellis Street,,,,,restaurant,,,,,,,,,,,,,,steaks_and_seafood,,,,,,,,,,,,,,,,,,,,,,,,,37.7854639,,,-122.4071525,,John's Grill Live Jazz,,,,,,,,,,,,,+1-415-986-0069,,,,,,,,,,,http://www.johnsgrill.com/,,,,,,
,,,,,,,,,,,,,,,bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7862572,,,-122.4086732,,John Foley's Dueling Piano Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7760504,,,-122.3939636,,Panera Bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,restaurant,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7814263,,,-122.387807,,Java House Breakfast and Lunch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
