GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
310M100US10140,10140,"Aberdeen, WA Micro Area",562,53
310M100US10180,10180,"Abilene, TX Metro Area",554,38
310M100US10300,10300,"Adrian, MI Micro Area",537,27
310M100US10420,10420,"Akron, OH Metro Area",579,11
310M100US10500,10500,"Albany, GA Metro Area",477,28
310M100US10540,10540,"Albany-Lebanon, OR Micro Area",627,27
310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",710,12
310M100US10700,10700,"Albertville, AL Micro Area",402,48
310M100US10740,10740,"Albuquerque, NM Metro Area",643,13
310M100US10780,10780,"Alexandria, LA Metro Area",461,23
310M100US10880,10880,"Allegan, MI Micro Area",578,22
310M100US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",723,20
310M100US11020,11020,"Altoona, PA Metro Area",464,25
310M100US11100,11100,"Amarillo, TX Metro Area",551,24
310M100US11180,11180,"Ames, IA Metro Area",607,20
310M100US11260,11260,"Anchorage, AK Metro Area",919,31
310M100US11300,11300,"Anderson, IN Metro Area",509,14
310M100US11340,11340,"Anderson, SC Metro Area",475,22
310M100US11460,11460,"Ann Arbor, MI Metro Area",735,21
310M100US11500,11500,"Anniston-Oxford, AL Metro Area",411,49
310M100US11540,11540,"Appleton, WI Metro Area",556,25
310M100US11700,11700,"Asheville, NC Metro Area",602,27
310M100US11780,11780,"Ashtabula, OH Micro Area",475,23
310M100US11980,11980,"Athens, TX Micro Area",397,51
310M100US12020,12020,"Athens-Clarke County, GA Metro Area",563,36
310M100US12060,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",733,7
310M100US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",835,32
310M100US12180,12180,"Auburn, NY Micro Area",484,25
310M100US12220,12220,"Auburn-Opelika, AL Metro Area",534,31
310M100US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",525,18
310M100US12300,12300,"Augusta-Waterville, ME Micro Area",601,35
310M100US12420,12420,"Austin-Round Rock-San Marcos, TX Metro Area",758,11
310M100US12540,12540,"Bakersfield-Delano, CA Metro Area",709,18
310M100US12580,12580,"Baltimore-Towson, MD Metro Area",867,13
310M100US12620,12620,"Bangor, ME Metro Area",607,31
310M100US12700,12700,"Barnstable Town, MA Metro Area",979,77
310M100US12940,12940,"Baton Rouge, LA Metro Area",605,19
310M100US12980,12980,"Battle Creek, MI Metro Area",516,18
310M100US13020,13020,"Bay City, MI Metro Area",454,37
310M100US13140,13140,"Beaumont-Port Arthur, TX Metro Area",556,22
310M100US13180,13180,"Beaver Dam, WI Micro Area",603,22
310M100US13220,13220,"Beckley, WV Micro Area",395,52
310M100US13380,13380,"Bellingham, WA Metro Area",740,35
310M100US13460,13460,"Bend, OR Metro Area",733,23
310M100US13740,13740,"Billings, MT Metro Area",572,34
310M100US13780,13780,"Binghamton, NY Metro Area",531,15
310M100US13820,13820,"Birmingham-Hoover, AL Metro Area",532,12
310M100US13900,13900,"Bismarck, ND Metro Area",529,31
310M100US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",594,26
310M100US14020,14020,"Bloomington, IN Metro Area",551,42
310M100US14060,14060,"Bloomington-Normal, IL Metro Area",592,38
310M100US14100,14100,"Bloomsburg-Berwick, PA Micro Area",558,32
310M100US14140,14140,"Bluefield, WV-VA Micro Area",374,19
310M100US14260,14260,"Boise City-Nampa, ID Metro Area",640,19
310M100US14460,14460,"Boston-Cambridge-Quincy, MA-NH Metro Area",1032,11
310M100US14500,14500,"Boulder, CO Metro Area",908,27
310M100US14540,14540,"Bowling Green, KY Metro Area",494,23
310M100US14580,14580,"Bozeman, MT Micro Area",704,33
310M100US14660,14660,"Brainerd, MN Micro Area",574,36
310M100US14700,14700,"Branson, MO Micro Area",489,32
310M100US14740,14740,"Bremerton-Silverdale, WA Metro Area",820,27
310M100US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",1065,23
310M100US15180,15180,"Brownsville-Harlingen, TX Metro Area",471,20
310M100US15260,15260,"Brunswick, GA Metro Area",554,142
310M100US15380,15380,"Buffalo-Niagara Falls, NY Metro Area",524,13
310M100US15500,15500,"Burlington, NC Metro Area",502,25
310M100US15540,15540,"Burlington-South Burlington, VT Metro Area",804,30
310M100US15940,15940,"Canton-Massillon, OH Metro Area",492,14
310M100US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",732,19
310M100US16020,16020,"Cape Girardeau-Jackson, MO-IL Metro Area",467,34
310M100US16180,16180,"Carson City, NV Metro Area",721,67
310M100US16220,16220,"Casper, WY Metro Area",622,40
310M100US16300,16300,"Cedar Rapids, IA Metro Area",522,14
310M100US16500,16500,"Centralia, WA Micro Area",580,38
310M100US16540,16540,"Chambersburg, PA Micro Area",587,35
310M100US16580,16580,"Champaign-Urbana, IL Metro Area",596,21
310M100US16620,16620,"Charleston, WV Metro Area",460,18
310M100US16700,16700,"Charleston-North Charleston-Summerville, SC Metro Area",716,16
310M100US16740,16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",636,10
