GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014
310M200US10100,10100,"Aberdeen, SD Micro Area",40602,40602,40701,40992,41542,42197,42391
310M200US10140,10140,"Aberdeen, WA Micro Area",72797,72797,72833,72311,71705,71001,70818
310M200US10180,10180,"Abilene, TX Metro Area",165252,165252,165642,166637,167529,167452,168592
310M200US10220,10220,"Ada, OK Micro Area",37492,37492,37584,37697,38006,38073,38005
310M200US10300,10300,"Adrian, MI Micro Area",99892,99892,99649,99391,99150,99048,99047
310M200US10420,10420,"Akron, OH Metro Area",703200,703207,702967,702881,702203,703210,703825
310M200US10460,10460,"Alamogordo, NM Micro Area",63797,63799,64396,65597,66102,65900,65082
310M200US10500,10500,"Albany, GA Metro Area",157308,157500,157663,157791,157355,155790,154925
310M200US10540,10540,"Albany, OR Metro Area",116672,116672,116871,118117,118360,118644,119356
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",870716,870720,870954,872966,875270,878479,880167
310M200US10620,10620,"Albemarle, NC Micro Area",60585,60585,60562,60480,60493,60630,60600
310M200US10660,10660,"Albert Lea, MN Micro Area",31255,31255,31211,31097,31052,30972,30840
310M200US10700,10700,"Albertville, AL Micro Area",93019,93019,93170,93927,94303,94569,94636
310M200US10740,10740,"Albuquerque, NM Metro Area",887077,887075,889649,897091,901016,903345,904587
310M200US10780,10780,"Alexandria, LA Metro Area",153922,153922,154127,154419,154487,154903,154872
310M200US10820,10820,"Alexandria, MN Micro Area",36009,36009,36008,36258,36446,36563,36790
310M200US10860,10860,"Alice, TX Micro Area",40838,40839,40880,41195,41644,41669,41353
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821303,822083,825229,827109,827044,829835
310M200US10940,10940,"Alma, MI Micro Area",42476,42476,42409,42148,42031,42034,41665
310M200US10980,10980,"Alpena, MI Micro Area",29598,29598,29546,29356,29240,29081,28988
310M200US11020,11020,"Altoona, PA Metro Area",127089,127078,127030,127175,126999,126379,125955
310M200US11060,11060,"Altus, OK Micro Area",26446,26446,26472,26420,26261,26224,25998
310M200US11100,11100,"Amarillo, TX Metro Area",251933,251933,252696,255988,257755,258833,259885
310M200US11140,11140,"Americus, GA Micro Area",37829,37827,37728,37120,36620,36429,36395
310M200US11180,11180,"Ames, IA Metro Area",89542,89542,89596,90896,91721,93410,94073
310M200US11220,11220,"Amsterdam, NY Micro Area",50219,50236,50288,49965,49891,49830,49779
310M200US11260,11260,"Anchorage, AK Metro Area",380821,380821,383120,388140,392431,397521,398892
310M200US11380,11380,"Andrews, TX Micro Area",14786,14786,14835,15393,16119,16808,17477
310M200US11420,11420,"Angola, IN Micro Area",34185,34183,34135,34058,34155,34294,34308
310M200US11460,11460,"Ann Arbor, MI Metro Area",344791,345066,345525,349150,351301,354418,356874
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",118572,118586,118443,117760,117264,116547,115916
310M200US11540,11540,"Appleton, WI Metro Area",225666,225666,225850,227411,228581,229869,231497
