geo_id,geo_id2,msa_name,median_contract_rent,margin_error,city_state,latitude,longitude
310M200US10140,10140,"Aberdeen, WA Micro Area",626,36,"Aberdeen, WA",46.9753708,-123.8157218
310M200US10180,10180,"Abilene, TX Metro Area",613,32,"Abilene, TX",32.4487364,-99.7331439
310M200US10300,10300,"Adrian, MI Micro Area",556,23,"Adrian, MI",41.8975471,-84.0371659
310M200US10420,10420,"Akron, OH Metro Area",627,13,"Akron, OH",41.0814447,-81.5190053
310M200US10460,10460,"Alamogordo, NM Micro Area",700,135,"Alamogordo, NM",32.8995325,-105.960265
310M200US10500,10500,"Albany, GA Metro Area",480,21,"Albany, GA",31.5785074,-84.155741
310M200US10540,10540,"Albany, OR Metro Area",718,44,"Albany, OR",44.6365107,-123.1059282
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",784,15,"Albany, NY",42.6525793,-73.7562317
310M200US10700,10700,"Albertville, AL Micro Area",410,43,"Albertville, AL",34.2675937,-86.2088669
310M200US10740,10740,"Albuquerque, NM Metro Area",708,19,"Albuquerque, NM",35.0853336,-106.6055534
310M200US10780,10780,"Alexandria, LA Metro Area",539,49,"Alexandria, LA",31.3112936,-92.4451371
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",808,17,"Allentown, PA",40.6084305,-75.4901833
310M200US11020,11020,"Altoona, PA Metro Area",511,13,"Altoona, PA",40.5186809,-78.3947359
310M200US11100,11100,"Amarillo, TX Metro Area",634,24,"Amarillo, TX",35.2219971,-101.8312969
310M200US11180,11180,"Ames, IA Metro Area",686,31,"Ames, IA",42.0307812,-93.6319131
310M200US11260,11260,"Anchorage, AK Metro Area",1135,32,"Anchorage, AK",61.2180556,-149.9002778
310M200US11460,11460,"Ann Arbor, MI Metro Area",873,23,"Ann Arbor, MI",42.2808256,-83.7430378
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",428,18,"Anniston, AL",33.6598257,-85.8316318
310M200US11540,11540,"Appleton, WI Metro Area",601,22,"Appleton, WI",44.2619309,-88.4153847
310M200US11700,11700,"Asheville, NC Metro Area",674,28,"Asheville, NC",35.5950581,-82.5514869
310M200US11780,11780,"Ashtabula, OH Micro Area",494,33,"Ashtabula, OH",41.8650534,-80.7898089
310M200US11980,11980,"Athens, TX Micro Area",578,58,"Athens, TX",32.2048735,-95.8555207
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",653,27,"Athens, GA",33.9519347,-83.357567
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",794,7,"Atlanta, GA",33.7489954,-84.3879824
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",887,41,"Atlantic City, NJ",39.3642834,-74.4229266
