GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
310M200US10140,10140,"Aberdeen, WA Micro Area",626,36
310M200US10180,10180,"Abilene, TX Metro Area",613,32
310M200US10300,10300,"Adrian, MI Micro Area",556,23
310M200US10420,10420,"Akron, OH Metro Area",627,13
310M200US10460,10460,"Alamogordo, NM Micro Area",700,135
310M200US10500,10500,"Albany, GA Metro Area",480,21
310M200US10540,10540,"Albany, OR Metro Area",718,44
310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",784,15
310M200US10700,10700,"Albertville, AL Micro Area",410,43
310M200US10740,10740,"Albuquerque, NM Metro Area",708,19
310M200US10780,10780,"Alexandria, LA Metro Area",539,49
310M200US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",808,17
310M200US11020,11020,"Altoona, PA Metro Area",511,13
310M200US11100,11100,"Amarillo, TX Metro Area",634,24
310M200US11180,11180,"Ames, IA Metro Area",686,31
310M200US11260,11260,"Anchorage, AK Metro Area",1135,32
310M200US11460,11460,"Ann Arbor, MI Metro Area",873,23
310M200US11500,11500,"Anniston-Oxford-Jacksonville, AL Metro Area",428,18
310M200US11540,11540,"Appleton, WI Metro Area",601,22
310M200US11700,11700,"Asheville, NC Metro Area",674,28
310M200US11780,11780,"Ashtabula, OH Micro Area",494,33
310M200US11980,11980,"Athens, TX Micro Area",578,58
310M200US12020,12020,"Athens-Clarke County, GA Metro Area",653,27
310M200US12060,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",794,7
310M200US12100,12100,"Atlantic City-Hammonton, NJ Metro Area",887,41
310M200US12180,12180,"Auburn, NY Micro Area",563,31
310M200US12220,12220,"Auburn-Opelika, AL Metro Area",591,39
310M200US12260,12260,"Augusta-Richmond County, GA-SC Metro Area",571,28
310M200US12300,12300,"Augusta-Waterville, ME Micro Area",643,40
310M200US12420,12420,"Austin-Round Rock, TX Metro Area",895,12
310M200US12540,12540,"Bakersfield, CA Metro Area",739,19
310M200US12580,12580,"Baltimore-Columbia-Towson, MD Metro Area",983,14
310M200US12620,12620,"Bangor, ME Metro Area",616,61
310M200US12700,12700,"Barnstable Town, MA Metro Area",955,45
310M200US12940,12940,"Baton Rouge, LA Metro Area",687,17
310M200US12980,12980,"Battle Creek, MI Metro Area",565,29
310M200US13020,13020,"Bay City, MI Metro Area",519,33
310M200US13140,13140,"Beaumont-Port Arthur, TX Metro Area",602,25
310M200US13180,13180,"Beaver Dam, WI Micro Area",643,30
310M200US13220,13220,"Beckley, WV Metro Area",491,55
310M200US13380,13380,"Bellingham, WA Metro Area",836,23
310M200US13460,13460,"Bend-Redmond, OR Metro Area",794,34
310M200US13740,13740,"Billings, MT Metro Area",668,20
310M200US13780,13780,"Binghamton, NY Metro Area",627,25
310M200US13820,13820,"Birmingham-Hoover, AL Metro Area",591,16
310M200US13900,13900,"Bismarck, ND Metro Area",695,34
310M200US13980,13980,"Blacksburg-Christiansburg-Radford, VA Metro Area",631,60
310M200US14010,14010,"Bloomington, IL Metro Area",654,26
310M200US14020,14020,"Bloomington, IN Metro Area",709,33
310M200US14100,14100,"Bloomsburg-Berwick, PA Metro Area",585,40
310M200US14140,14140,"Bluefield, WV-VA Micro Area",422,26
310M200US14260,14260,"Boise City, ID Metro Area",689,16
310M200US14460,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1122,11
310M200US14500,14500,"Boulder, CO Metro Area",1119,48
310M200US14540,14540,"Bowling Green, KY Metro Area",521,24
310M200US14580,14580,"Bozeman, MT Micro Area",770,45
310M200US14660,14660,"Brainerd, MN Micro Area",609,21
310M200US14700,14700,"Branson, MO Micro Area",560,32
310M200US14740,14740,"Bremerton-Silverdale, WA Metro Area",884,20
310M200US14860,14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",1168,29
310M200US15180,15180,"Brownsville-Harlingen, TX Metro Area",502,22
310M200US15260,15260,"Brunswick, GA Metro Area",614,40
310M200US15380,15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",586,10
310M200US15500,15500,"Burlington, NC Metro Area",579,59
310M200US15540,15540,"Burlington-South Burlington, VT Metro Area",990,46
310M200US15680,15680,"California-Lexington Park, MD Metro Area",1041,88
