neighborhood,price,bedrooms,longitude,subregion,latitude,sqft,blockfips,countyfips,countyname,price_sqft,price_sqft_cat
palo alto,3030,2,-122.126255,Peninsula,37.419736,1000,6.08551E+13,6085,Santa Clara,3.03,3
napa county,668,,-122.317286,North Bay,38.314013,289,6.0552E+13,6055,Napa,2.311418685,2
santa rosa,1750,3,-122.729998,North Bay,38.466111,1325,6.09715E+13,6097,Sonoma,1.320754717,0
menlo park,5999,3,-122.209076,Peninsula,37.433038,1600,6.08161E+13,6081,San Mateo,3.749375,4
santa rosa,1550,2,-122.5912,North Bay,38.364894,1000,6.09715E+13,6097,Sonoma,1.55,0
sunnyvale,2105,1,-122.040687,South Bay,37.383033,693,6.08551E+13,6085,Santa Clara,3.037518038,3
vallejo / benicia,950,2,-122.265858,East Bay,38.113739,1000,6.09525E+13,6095,Solano,0.95,0
alamo square / nopa,3600,1,-122.439114,SF,37.78152,750,6.07502E+13,6075,San Francisco,4.8,4
1059 Leavenworth,2200,,-122.25,SF,37.5,370,6.08161E+13,6081,San Mateo,5.945945946,4
sunnyvale,1200,,-122.020271,South Bay,37.38954,400,6.08551E+13,6085,Santa Clara,3,3
milpitas,1875,2,-121.881369,South Bay,37.42739,820,6.0855E+13,6085,Santa Clara,2.286585366,2
walnut creek,1495,2,-122.065766,East Bay,37.919911,1000,6.01334E+13,6013,Contra Costa,1.495,0
san mateo,2102,1,-122.285185,Peninsula,37.544254,563,6.08161E+13,6081,San Mateo,3.73357016,4
foster city,2395,2,-122.261543,Peninsula,37.555698,1020,6.08161E+13,6081,San Mateo,2.348039216,2
san jose south,1522,1,-121.831163,South Bay,37.266543,722,6.08551E+13,6085,Santa Clara,2.108033241,1
oakland lake merritt / grand,1845,1,-122.2223,East Bay,37.8471,749,6.0014E+13,6001,Alameda,2.463284379,2
east palo alto,1680,1,-122.136774,Peninsula,37.454438,583,6.08161E+13,6081,San Mateo,2.881646655,3
san jose south,2050,2,-121.91214,South Bay,37.296442,1100,6.0855E+13,6085,Santa Clara,1.863636364,1
petaluma,1850,3,-122.632329,North Bay,38.258746,1400,6.09715E+13,6097,Sonoma,1.321428571,0
oakland north / temescal,3500,4,-122.265451,East Bay,37.832298,1530,6.0014E+13,6001,Alameda,2.287581699,2
mill valley,3500,2,-122.509639,North Bay,37.887657,1183,6.04113E+13,6041,Marin,2.958579882,3
fairfield / vacaville,725,1,-122.040456,East Bay,38.253594,450,6.09525E+13,6095,Solano,1.611111111,0
