neighborhood,price,bedrooms,date,sqft,longitude,latitude
foster city,2495,1,11/14/2014 12:26,755,-122.27,37.5538
palo alto,2695,,11/14/2014 12:25,443,-122.161524,37.450289
brisbane,3150,2,11/14/2014 12:24,1242,-122.417912,37.692415
palo alto,2800,2,11/14/2014 12:24,,,
san mateo,2196,1,11/14/2014 12:24,676,-122.2998,37.5395
santa clara,3264,3,11/14/2014 12:28,1138,,
san jose south,2000,2,11/14/2014 12:28,822,-121.902268,37.253503
sunnyvale,4740,3,11/14/2014 12:28,1406,-122.034683,37.368445
inner sunset / UCSF,3395,2,11/14/2014 12:32,,-122.479345,37.764582
richmond / seacliff,2699,1,11/14/2014 12:32,,-122.503781,37.7718
SOMA / south beach,3620,1,11/14/2014 12:30,860,-122.395195,37.775133
dublin / pleasanton / livermore,2025,1,11/14/2014 12:18,636,-121.787665,37.67963
concord / pleasant hill / martinez,,2,11/14/2014 12:18,1019,-122.035275,37.975259
"hercules, pinole, san pablo, el sob",1795,1,11/14/2014 12:17,715,-122.321672,37.978086
corte madera,4299,3,11/14/2014 12:33,1533,-122.488541,37.919834
